screenW,Browser,screenH,workerid,OS
1366,Chrome,768,161,Windows
1366,Chrome,768,162,Windows
1920,Chrome,1080,163,Windows
1280,Chrome,800,164,Windows
1536,Chrome,864,165,Windows
1280,Chrome,800,166,Windows
2752,Chrome,1152,167,Windows
1440,Chrome,900,168,Mac
1366,Chrome,768,169,Windows
1280,Chrome,800,170,Mac
1364,Chrome,768,171,Windows
1366,Chrome,768,172,Windows
1536,Chrome,864,173,Windows
1231,Firefox,821,174,Windows
601,Chrome,962,175,Linux
1366,Chrome,768,176,Windows
1024,Chrome,820,177,Windows
1920,Chrome,1080,178,Windows
2048,Chrome,864,179,Windows
1366,Chrome,768,180,Linux
1600,Chrome,900,181,Windows
1366,Chrome,768,182,Windows
1920,Chrome,1080,183,Windows
1280,Chrome,768,184,Windows
412,Chrome,892,185,Linux
768,Safari,1024,186,an unknown OS
1536,Firefox,864,187,Windows
1366,Chrome,768,188,Windows
1600,Chrome,900,189,Windows
1366,Chrome,768,190,Windows
1360,Chrome,768,191,Windows
1366,Chrome,768,192,Windows
1024,Chrome,820,193,Windows
360,Chrome,720,194,Linux
1920,Chrome,1080,195,Windows
1680,Chrome,1050,196,Mac
1280,Chrome,1024,197,Windows
1600,Firefox,900,198,Windows
1920,Chrome,1080,199,Windows
1366,Chrome,768,200,Windows
1280,Chrome,720,201,Windows
1024,Chrome,768,202,Windows
1536,Chrome,864,203,Windows
1366,Chrome,768,204,Windows
320,Chrome,570,205,Linux
412,Chrome,892,206,Linux
1600,Chrome,900,207,Windows
2560,Chrome,1080,208,Windows
1366,Chrome,768,209,Windows
1280,Chrome,1024,210,Windows
1920,Chrome,1080,211,Windows
1920,Chrome,1080,212,Windows
1600,Chrome,900,213,Windows
1440,Chrome,900,214,Windows
1366,Firefox,768,215,Windows
1364,Chrome,768,216,Windows
1536,Chrome,864,217,Windows
1366,Chrome,768,218,Windows
1280,Chrome,768,219,Windows
360,Chrome,740,220,Linux
320,Chrome,570,221,Linux
1366,Chrome,768,222,Windows
1366,Chrome,768,223,Linux
1536,Chrome,864,224,Windows
1366,Chrome,768,225,Windows
1093,Firefox,614,226,Windows
424,Chrome,753,227,Linux
1680,Chrome,1050,228,Mac
1920,Chrome,1080,229,Windows
1366,Chrome,768,230,Windows
1600,Chrome,900,231,Windows
1366,Chrome,768,232,Windows
1368,Chrome,912,233,Windows
1280,Chrome,800,234,Windows
1366,Chrome,768,235,Windows
1366,Chrome,768,236,Windows
1536,Firefox,864,237,Windows
1366,Chrome,768,238,Windows
1366,Chrome,768,239,Linux
1707,Chrome,960,240,Windows
1920,Firefox,1200,241,Mac
1920,Chrome,1080,242,Windows
1920,Chrome,1080,243,Windows
1280,Chrome,720,244,Windows
1600,Chrome,900,245,Windows
1920,Chrome,1080,246,Mac
2048,Chrome,1152,247,Windows
1536,Firefox,864,248,Windows
1366,Chrome,768,249,Windows
1280,Chrome,1024,250,Windows
1366,Chrome,768,251,Windows
1440,Chrome,900,252,Mac
2560,Firefox,1440,253,Windows
1280,Firefox,1024,254,Windows
1920,Chrome,1080,255,Windows
1536,Chrome,864,256,Linux
1366,Chrome,768,257,Windows
1366,Chrome,768,258,Windows
1600,Chrome,900,259,Windows
1366,Chrome,768,260,Windows
1536,Chrome,864,261,Windows
1280,Firefox,800,262,Mac
768,Safari,1024,263,an unknown OS
1366,Chrome,768,264,Windows
1366,Chrome,768,265,Windows
412,Chrome,823,266,Linux
1920,Chrome,1080,267,Windows
1536,Chrome,864,268,Windows
1920,Chrome,1080,269,Windows
1366,Chrome,768,270,Windows
1920,Chrome,1080,271,Windows
1920,Chrome,1080,272,Windows
1366,Chrome,768,273,Windows
1536,Chrome,864,274,Windows
1366,Chrome,768,275,Linux
1280,Chrome,1024,276,Windows
1920,Chrome,1080,277,Windows
1280,Firefox,720,278,Linux
1368,Chrome,912,279,Windows
2560,Chrome,1440,280,Mac
1366,Chrome,768,281,Windows
1093,Chrome,615,282,Windows
1366,Chrome,768,283,Windows
1920,Chrome,1080,284,Windows
846,Chrome,412,285,Linux
1920,Firefox,1080,286,Windows
1364,Chrome,768,287,Windows
1366,Chrome,768,288,Windows
1536,Chrome,864,289,Windows
1320,Firefox,825,290,Mac
1920,Chrome,1200,291,Mac
1280,Chrome,800,292,Windows
1088,Chrome,615,293,Windows
1280,Chrome,720,294,Windows
1920,Firefox,1080,295,Windows
1280,Chrome,720,296,Windows
1280,Chrome,720,297,Windows
1366,Chrome,768,298,Windows
1920,Chrome,1080,299,Windows
1536,Chrome,864,300,Windows
1366,Chrome,768,301,Linux
1600,Chrome,900,302,Windows
1536,Chrome,864,303,Windows
640,Chrome,360,304,Linux
1368,Chrome,912,305,Windows
1366,Chrome,768,306,Windows
1920,Chrome,1080,307,Windows
1360,Chrome,768,308,Windows
1366,Chrome,768,309,Linux
1536,Chrome,864,310,Windows
1920,Chrome,1080,311,Windows
1368,Chrome,912,312,Windows
1536,Chrome,864,313,Windows
640,Chrome,360,314,Linux
1024,Chrome,768,315,Windows
1360,Chrome,768,316,Windows
1600,Chrome,900,317,Windows
1920,Firefox,1080,318,Windows
1536,Chrome,864,319,Windows
1280,Chrome,720,320,Windows
1280,Chrome,1024,321,Windows
1920,Chrome,1080,322,Windows
1366,Chrome,768,323,Windows
1093,Firefox,614,324,Windows
1280,Chrome,800,325,Mac
1366,Chrome,768,326,Windows
1600,Chrome,900,327,Windows
1280,Firefox,1024,328,Windows
360,Chrome,640,329,Linux
1440,Chrome,900,330,Windows
1366,Chrome,768,331,Linux
1360,Chrome,768,332,Windows
1093,Chrome,615,333,Windows
1920,Chrome,1080,334,Linux
1366,Firefox,768,335,Windows
1680,Chrome,1050,336,Windows
1366,Firefox,768,337,Windows
1696,Firefox,954,338,Windows
1368,Chrome,912,339,Windows
1366,Chrome,768,340,Windows
1920,Chrome,1080,341,Windows
1536,Chrome,864,342,Windows
1920,Chrome,1080,343,Mac
1366,Chrome,768,344,Windows
1920,Chrome,1080,345,Windows
933,Firefox,650,346,Windows
1366,Chrome,768,347,Windows
1536,Chrome,864,348,Windows
1440,Chrome,900,349,Mac
1920,Chrome,1080,350,Windows
1920,Chrome,1080,351,Windows
1366,Chrome,768,352,Windows
1440,Chrome,900,353,Mac
1280,Chrome,800,354,Mac
1920,Chrome,1080,355,Windows
1536,Chrome,864,356,Windows
1440,Chrome,900,357,Mac
1920,Chrome,1080,358,Windows
1366,Chrome,768,359,Windows
1920,Chrome,1080,360,Windows
1280,Chrome,800,361,Windows
1920,Chrome,1080,362,Windows
1536,Chrome,864,363,Windows
1366,Chrome,768,364,Windows
1366,Chrome,768,365,Windows
1138,Chrome,712,366,Linux
1280,Chrome,720,367,Windows
1366,Chrome,768,368,Windows
1366,Chrome,768,369,Windows
1366,Chrome,768,370,Windows
360,Chrome,640,371,Linux
1088,Chrome,615,372,Windows
1920,Chrome,1080,373,Windows
1366,Chrome,768,374,Windows
1366,Chrome,768,375,Windows
1920,Chrome,1080,376,Mac
1920,Chrome,1080,377,Linux
1364,Chrome,768,378,Windows
1600,Chrome,900,379,Windows
1366,Chrome,768,380,Windows
320,Safari,568,381,iPhone/iPod
1368,Chrome,912,382,Windows
1525,Firefox,858,383,Linux
1600,Firefox,900,384,Windows
1366,Chrome,768,385,Windows
1366,Chrome,768,386,Windows
1366,Firefox,768,387,Windows
1536,Chrome,864,388,Windows
1536,Chrome,864,389,Windows
1366,Chrome,768,390,Windows
1366,Chrome,768,391,Windows
1920,Chrome,1080,392,Windows
1920,Chrome,1080,393,Mac
1440,Chrome,900,394,Mac
1366,Chrome,768,395,Linux
768,Safari,1024,396,an unknown OS
1920,Firefox,1080,397,Windows
1366,Chrome,768,398,Windows
1280,Chrome,1024,399,Windows
1366,Chrome,768,400,Linux
1280,Chrome,720,401,Windows
1920,Chrome,1080,402,Windows
1093,Chrome,615,403,Windows
1920,Chrome,1080,404,Windows
1280,Chrome,800,405,Mac
1920,Chrome,1080,406,Windows
1280,Chrome,720,407,Windows
1536,Chrome,864,408,Windows
1280,Chrome,720,409,Windows
1366,Chrome,768,410,Windows
1280,Chrome,800,411,Windows
1364,Chrome,768,412,Windows
1366,Chrome,768,413,Windows
1364,Chrome,768,414,Windows
1600,Chrome,900,415,Windows
1600,Firefox,900,416,Windows
720,Chrome,1280,417,Windows
1536,Chrome,864,418,Windows
1200,Firefox,750,419,Windows
1920,Chrome,1080,420,Windows
1600,Chrome,900,421,Windows
1366,Chrome,768,422,Windows
1920,Chrome,1080,423,Windows
2560,Chrome,1440,424,Windows
1536,Chrome,864,425,Windows
1366,Chrome,768,426,Linux
414,Firefox,803,427,Linux
1440,Chrome,900,428,Windows
1152,Chrome,720,429,Windows
1536,Chrome,864,430,Windows
1366,Chrome,768,431,Windows
1920,Chrome,1080,432,Windows
2048,Chrome,1152,433,Mac
1522,Chrome,952,434,Windows
1920,Chrome,1080,435,Windows
1536,Chrome,864,436,Windows
1600,Firefox,900,437,Windows
1367,Chrome,768,438,Windows
1280,Chrome,800,439,Windows
1366,Chrome,768,440,Linux
1024,Safari,1366,441,an unknown OS
1600,Chrome,900,442,Windows
1920,Firefox,1080,443,Mac
1280,Chrome,1024,444,Windows
1366,Chrome,768,445,Windows
1366,Chrome,768,446,Windows
1280,Chrome,720,447,Windows
1366,Chrome,768,448,Windows
1920,Chrome,1080,449,Windows
1680,Chrome,1050,450,Windows
1280,Chrome,800,451,Mac
1920,Chrome,1080,452,Windows
1366,Chrome,768,453,Windows
1536,Chrome,864,454,Windows
1024,Chrome,768,455,Windows
1920,Chrome,1080,456,Linux
1366,Chrome,768,457,Windows
1920,Chrome,1080,458,Mac
1920,Chrome,1080,459,Windows
1280,Chrome,800,460,Windows
1360,Chrome,768,461,Windows
1600,Chrome,900,462,Windows
1920,Chrome,1080,463,Windows
1152,Chrome,864,464,Windows
1920,Chrome,1080,465,Windows
1600,Chrome,900,466,Windows
1536,Chrome,864,467,Windows
1536,Chrome,864,468,Windows
1366,Chrome,768,469,Windows
1024,Chrome,768,470,Windows
601,Chrome,962,471,Linux
1920,Chrome,1080,472,Windows
1366,Chrome,768,473,Windows
1920,Chrome,1080,474,Windows
414,Safari,896,475,iPhone/iPod
375,Safari,812,476,iPhone/iPod
1440,Firefox,900,477,Mac
1920,Chrome,1080,478,Windows
1024,Chrome,768,479,Windows
1366,Chrome,768,480,Windows
1366,Chrome,768,481,Windows
1920,Chrome,1080,482,Windows
1920,Chrome,1080,483,Windows
1920,Chrome,1080,484,Windows
1280,Chrome,1024,485,Windows
1536,Chrome,864,486,Windows
1280,Firefox,800,487,Mac
1920,Chrome,1080,488,Windows
1920,Chrome,1080,489,Windows
1366,Chrome,768,490,Windows
1366,Chrome,768,491,Linux
1536,Chrome,864,492,Windows
1366,Chrome,768,493,Windows
1366,Chrome,768,494,Windows
1300,Chrome,731,495,Linux
1536,Chrome,864,496,Windows
360,Chrome,740,497,Linux
1280,Chrome,720,498,Windows
1366,Chrome,768,499,Windows
1600,Chrome,900,500,Windows
1600,Chrome,900,501,Windows
1067,Firefox,600,502,Windows
1366,Chrome,768,503,Windows
1920,Chrome,1080,504,Windows
1366,Chrome,768,505,Windows
375,Safari,667,506,iPhone/iPod
1536,Chrome,864,507,Windows
1920,Chrome,1080,508,Windows
1366,Chrome,768,509,Windows
1920,Firefox,1080,510,Windows
2560,Chrome,1440,511,Windows
1366,Chrome,768,512,Windows
1920,Chrome,1080,513,Windows
1920,Chrome,1080,514,Windows
1920,Chrome,1080,515,Windows
1280,Chrome,800,516,Windows
1536,Chrome,864,517,Windows
1440,Firefox,810,518,Windows
1920,Chrome,1080,519,Windows
1366,Firefox,768,520,Windows
1366,Chrome,768,521,Windows
1366,Chrome,768,522,Windows
1366,Chrome,768,523,Windows
1366,Chrome,768,524,Windows
1366,Chrome,768,525,Windows
1364,Chrome,768,526,Windows
1280,Firefox,853,527,Windows
1366,Chrome,768,528,Windows
1152,Chrome,864,529,Windows
1366,Chrome,768,530,Windows
1920,Firefox,1200,531,Windows
1088,Chrome,615,532,Windows
1600,Chrome,900,533,Windows
1366,Chrome,768,534,Windows
1440,Chrome,900,535,Mac
1366,Chrome,768,536,Windows
1600,Firefox,900,537,Windows
1280,Chrome,720,538,Windows
1366,Chrome,768,539,Windows
3840,Chrome,2160,540,Windows
1920,Chrome,1080,541,Windows
1600,Chrome,900,542,Windows
1024,Chrome,820,543,Windows
1366,Chrome,768,544,Windows
1600,Firefox,900,545,Windows
360,Chrome,640,546,Linux
1024,Chrome,820,547,Windows
1280,Firefox,1024,548,Windows
1093,Chrome,615,549,Windows
1920,Firefox,1080,550,Windows
1920,Firefox,1080,551,Windows
1920,Chrome,1080,552,Windows
1920,Chrome,1080,553,Windows
1280,Chrome,800,554,Mac
1920,Chrome,1080,555,Windows
360,Chrome,640,556,Linux
1280,Chrome,1024,557,Windows
1536,Chrome,864,558,Windows
1440,Chrome,900,559,Windows
1280,Chrome,720,560,Windows
1366,Chrome,768,561,Windows
1366,Chrome,768,562,Linux
1366,Chrome,768,563,Windows
1366,Chrome,768,564,Windows
1366,Chrome,768,565,Windows
1600,Chrome,900,566,Windows
1024,Chrome,768,567,Linux
1366,Chrome,768,568,Windows
1280,Chrome,800,569,Windows
1366,Chrome,768,570,Windows
1536,Chrome,864,571,Linux
1536,Chrome,864,572,Windows
2048,Chrome,1152,573,Windows
1536,Chrome,864,574,Windows
800,Chrome,1280,575,Linux
1280,Chrome,768,576,Windows
1920,Chrome,1080,577,Windows
1600,Chrome,900,578,Windows
1024,Chrome,768,579,Windows
1600,Chrome,900,580,Windows
1280,Chrome,800,581,Mac
1366,Chrome,768,582,Windows
1366,Chrome,768,583,Windows
1600,Chrome,900,584,Windows
1366,Chrome,768,585,Windows
1920,Chrome,1080,586,Windows
1440,Firefox,900,587,Windows
1364,Chrome,768,588,Windows
810,Safari,1080,589,Mac
400,Chrome,867,590,Linux
1366,Chrome,768,591,Windows
1920,Chrome,1080,592,Linux
1920,Chrome,1080,593,Windows
1280,Chrome,720,594,Windows
360,Chrome,740,595,Linux
1536,Chrome,864,596,Windows
1440,Chrome,900,597,Windows
1920,Chrome,1080,598,Windows
1364,Chrome,768,599,Windows
