trigger_class,prior,workerid,rt,Answer.time_in_minutes,trigger,prior_fact,slide_number_in_experiment,response,question_type,content,block,short_trigger,age,language,american,comments,trial
C,low_prior,0,2404,3.9572,suggest,Owen lives in New Orleans,29,0.7,projective,owen,block1,suggest,29,English,Yes,NA,25
C,high_prior,0,2959,3.9572,say,Tony really likes to party with his friends,30,0.53,projective,tony,block1,say,29,English,Yes,NA,26
C,low_prior,0,6100,3.9572,confess,Mary is a middle school student,32,0.32999999999999996,ai,mary,block2,confess,29,English,Yes,NA,27
C,high_prior,0,3729,3.9572,confirm,Olivia works the third shift,33,0.25,ai,olivia,block2,confirm,29,English,Yes,NA,28
MC,NA,0,2351,3.9572,MC,Ballet is a type of dance,34,0,ai,ballet,block2,MC,29,English,Yes,NA,29
C,low_prior,0,5446,3.9572,know,Jon lives 10 miles away from work,35,0.35,ai,jon,block2,know,29,English,Yes,NA,30
C,low_prior,0,2558,3.9572,acknowledge,Josh is a 75-year old man,36,0.26,ai,josh,block2,acknowledge,29,English,Yes,NA,31
MC,NA,0,2191,3.9572,MC,Many children like ice cream,37,0,ai,kids,block2,MC,29,English,Yes,NA,32
MC,NA,0,5082,3.9572,MC,Pizza is sold at the pizzeria,38,0.37,ai,pizza,block2,MC,29,English,Yes,NA,33
MC,NA,0,2921,3.9572,MC,Garages are used to store cars and other things,39,0.010000000000000009,ai,garage,block2,MC,29,English,Yes,NA,34
C,low_prior,0,6447,3.9572,be_annoyed,Emma is in first grade,40,0.94,ai,emma,block2,be_annoyed,29,English,Yes,NA,35
C,high_prior,0,2735,3.9572,be_right,Zoe is a math major,41,0.8,ai,zoe,block2,be_right,29,English,Yes,NA,36
C,high_prior,0,1431,3.9572,demonstrate,Charley lives in Mexico,42,0.69,ai,charley,block2,demonstrate,29,English,Yes,NA,37
C,low_prior,0,1612,3.9572,announce,Jackson is obese,43,0.76,ai,jackson,block2,announce,29,English,Yes,NA,38
C,low_prior,0,3285,3.9572,see,Julian is German,44,0.71,ai,julian,block2,see,29,English,Yes,NA,39
MC,NA,0,1834,3.9572,MC,Muffins are sold at the bakery,45,0.030000000000000027,ai,muffins,block2,MC,29,English,Yes,NA,40
C,low_prior,0,1564,3.9572,pretend,Grace hates her sister,46,0.83,ai,grace,block2,pretend,29,English,Yes,NA,41
C,high_prior,0,1290,3.9572,establish,Mia is a college student,47,0.75,ai,mia,block2,establish,29,English,Yes,NA,42
C,high_prior,0,1526,3.9572,reveal,Josie loves France,48,0.9,ai,josie,block2,reveal,29,English,Yes,NA,43
C,high_prior,0,1963,3.9572,inform,Sophia is a hipster,49,0.69,ai,sophia,block2,inform,29,English,Yes,NA,44
C,low_prior,0,1452,3.9572,suggest,Owen lives in New Orleans,50,0.89,ai,owen,block2,suggest,29,English,Yes,NA,45
C,high_prior,0,1546,3.9572,say,Tony really likes to party with his friends,51,0.83,ai,tony,block2,say,29,English,Yes,NA,46
C,high_prior,0,2098,3.9572,admit,Frank has always wanted a pet,52,0.7,ai,frank,block2,admit,29,English,Yes,NA,47
C,low_prior,0,1975,3.9572,think,Danny is a diabetic,53,0.85,ai,danny,block2,think,29,English,Yes,NA,48
MC,NA,0,1742,3.9572,MC,Hats are worn on the head,54,0.010000000000000009,ai,hat,block2,MC,29,English,Yes,NA,49
C,high_prior,0,1430,3.9572,prove,Emily has been saving for a year,55,0.7,ai,emily,block2,prove,29,English,Yes,NA,50
C,low_prior,0,1869,3.9572,discover,Jayden doesn't have a driver's license,56,0.78,ai,jayden,block2,discover,29,English,Yes,NA,51
C,high_prior,0,1539,3.9572,hear,Isabella is from Argentina,57,0.72,ai,isabella,block2,hear,29,English,Yes,NA,52
C,low_prior,1,9649,5.719,discover,Tony has been sober for 20 years,5,1,projective,tony,block1,discover,32,English,Yes,NA,1
C,low_prior,1,16251,5.719,suggest,Grace hates her sister,6,0.63,projective,grace,block1,suggest,32,English,Yes,NA,2
C,high_prior,1,4176,5.719,see,Sophia is a hipster,7,1,projective,sophia,block1,see,32,English,Yes,NA,3
MC,NA,1,4815,5.719,MC,Many children like ice cream,8,0,projective,kids,block1,MC,32,English,Yes,NA,4
C,low_prior,1,8012,5.719,pretend,Josie doesn't have a passport,9,0,projective,josie,block1,pretend,32,English,Yes,NA,5
C,high_prior,1,6753,5.719,hear,Julian is Cuban,10,1,projective,julian,block1,hear,32,English,Yes,NA,6
C,high_prior,1,6265,5.719,establish,Isabella is from Argentina,11,0.13,projective,isabella,block1,establish,32,English,Yes,NA,7
MC,NA,1,3932,5.719,MC,Ballet is a type of dance,12,0,projective,ballet,block1,MC,32,English,Yes,NA,8
C,low_prior,1,5177,5.719,think,Frank is allergic to cats,13,0.09,projective,frank,block1,think,32,English,Yes,NA,9
C,low_prior,1,8085,5.719,prove,Zoe is 5 years old,14,0,projective,zoe,block1,prove,32,English,Yes,NA,10
C,high_prior,1,8069,5.719,demonstrate,Jayden's car is in the shop,15,0.13,projective,jayden,block1,demonstrate,32,English,Yes,NA,11
C,low_prior,1,3932,5.719,announce,Jackson is obese,16,0.1,projective,jackson,block1,announce,32,English,Yes,NA,12
MC,NA,1,3255,5.719,MC,Muffins are sold at the bakery,17,0,projective,muffins,block1,MC,32,English,Yes,NA,13
MC,NA,1,5404,5.719,MC,Garages are used to store cars and other things,18,0,projective,garage,block1,MC,32,English,Yes,NA,14
C,low_prior,1,9220,5.719,be_right,Mia is a nun,19,0.2,projective,mia,block1,be_right,32,English,Yes,NA,15
MC,NA,1,4570,5.719,MC,Hats are worn on the head,20,0.09,projective,hat,block1,MC,32,English,Yes,NA,16
C,high_prior,1,6483,5.719,know,Olivia works the third shift,21,1,projective,olivia,block1,know,32,English,Yes,NA,17
C,high_prior,1,4231,5.719,say,Jon lives 2 blocks away from work,22,0.16,projective,jon,block1,say,32,English,Yes,NA,18
C,high_prior,1,4506,5.719,inform,Mary is taking a prenatal yoga class,23,1,projective,mary,block1,inform,32,English,Yes,NA,19
C,high_prior,1,4633,5.719,be_annoyed,Emily has been saving for a year,24,1,projective,emily,block1,be_annoyed,32,English,Yes,NA,20
MC,NA,1,4310,5.719,MC,Pizza is sold at the pizzeria,25,0,projective,pizza,block1,MC,32,English,Yes,NA,21
C,low_prior,1,7691,5.719,reveal,Emma is in first grade,26,0.21,projective,emma,block1,reveal,32,English,Yes,NA,22
C,low_prior,1,8116,5.719,confess,Josh is a 75-year old man,27,0.12,projective,josh,block1,confess,32,English,Yes,NA,23
C,high_prior,1,5075,5.719,confirm,Danny loves cake,28,0,projective,danny,block1,confirm,32,English,Yes,NA,24
C,high_prior,1,11001,5.719,acknowledge,Charley lives in Mexico,29,0.85,projective,charley,block1,acknowledge,32,English,Yes,NA,25
C,low_prior,1,9094,5.719,admit,Owen lives in New Orleans,30,0.58,projective,owen,block1,admit,32,English,Yes,NA,26
MC,NA,1,5812,5.719,MC,Muffins are sold at the bakery,32,0,ai,muffins,block2,MC,32,English,Yes,NA,27
C,low_prior,1,4098,5.719,be_right,Mia is a nun,33,0,ai,mia,block2,be_right,32,English,Yes,NA,28
C,low_prior,1,3941,5.719,discover,Tony has been sober for 20 years,34,1,ai,tony,block2,discover,32,English,Yes,NA,29
C,high_prior,1,2655,5.719,see,Sophia is a hipster,35,1,ai,sophia,block2,see,32,English,Yes,NA,30
C,low_prior,1,3939,5.719,suggest,Grace hates her sister,36,1,ai,grace,block2,suggest,32,English,Yes,NA,31
MC,NA,1,4980,5.719,MC,Many children like ice cream,37,0,ai,kids,block2,MC,32,English,Yes,NA,32
C,high_prior,1,6072,5.719,demonstrate,Jayden's car is in the shop,38,0.73,ai,jayden,block2,demonstrate,32,English,Yes,NA,33
C,high_prior,1,3890,5.719,confirm,Danny loves cake,39,0.27,ai,danny,block2,confirm,32,English,Yes,NA,34
C,high_prior,1,4148,5.719,be_annoyed,Emily has been saving for a year,40,1,ai,emily,block2,be_annoyed,32,English,Yes,NA,35
C,low_prior,1,5190,5.719,think,Frank is allergic to cats,41,0.8200000000000001,ai,frank,block2,think,32,English,Yes,NA,36
C,high_prior,1,3993,5.719,know,Olivia works the third shift,42,1,ai,olivia,block2,know,32,English,Yes,NA,37
C,low_prior,1,10984,5.719,reveal,Emma is in first grade,43,0.29000000000000004,ai,emma,block2,reveal,32,English,Yes,NA,38
C,high_prior,1,3680,5.719,inform,Mary is taking a prenatal yoga class,44,1,ai,mary,block2,inform,32,English,Yes,NA,39
C,low_prior,1,3846,5.719,admit,Owen lives in New Orleans,45,1,ai,owen,block2,admit,32,English,Yes,NA,40
C,low_prior,1,3838,5.719,pretend,Josie doesn't have a passport,46,1,ai,josie,block2,pretend,32,English,Yes,NA,41
C,low_prior,1,7360,5.719,confess,Josh is a 75-year old man,47,0.36,ai,josh,block2,confess,32,English,Yes,NA,42
MC,NA,1,6050,5.719,MC,Hats are worn on the head,48,0,ai,hat,block2,MC,32,English,Yes,NA,43
C,high_prior,1,6406,5.719,establish,Isabella is from Argentina,49,0.18000000000000005,ai,isabella,block2,establish,32,English,Yes,NA,44
MC,NA,1,3357,5.719,MC,Ballet is a type of dance,50,0,ai,ballet,block2,MC,32,English,Yes,NA,45
MC,NA,1,2639,5.719,MC,Garages are used to store cars and other things,51,0,ai,garage,block2,MC,32,English,Yes,NA,46
C,high_prior,1,3443,5.719,hear,Julian is Cuban,52,1,ai,julian,block2,hear,32,English,Yes,NA,47
C,high_prior,1,3719,5.719,say,Jon lives 2 blocks away from work,53,0.27,ai,jon,block2,say,32,English,Yes,NA,48
C,low_prior,1,5469,5.719,prove,Zoe is 5 years old,54,0.28,ai,zoe,block2,prove,32,English,Yes,NA,49
MC,NA,1,2490,5.719,MC,Pizza is sold at the pizzeria,55,0,ai,pizza,block2,MC,32,English,Yes,NA,50
C,low_prior,1,3279,5.719,announce,Jackson is obese,56,0.22999999999999998,ai,jackson,block2,announce,32,English,Yes,NA,51
C,high_prior,1,3908,5.719,acknowledge,Charley lives in Mexico,57,0.78,ai,charley,block2,acknowledge,32,English,Yes,NA,52
C,low_prior,2,35159,11.41945,see,Emily never has any money,5,0.31999999999999995,ai,emily,block1,see,59,English,Yes,NA,1
C,high_prior,2,17024,11.41945,know,Jackson is training for a marathon,6,0.99,ai,jackson,block1,know,59,English,Yes,NA,2
C,low_prior,2,15976,11.41945,establish,Tony has been sober for 20 years,7,0,ai,tony,block1,establish,59,English,Yes,NA,3
C,low_prior,2,14200,11.41945,be_right,Jayden doesn't have a driver's license,8,0.020000000000000018,ai,jayden,block1,be_right,59,English,Yes,NA,4
C,high_prior,2,24352,11.41945,pretend,Jon lives 2 blocks away from work,9,0.99,ai,jon,block1,pretend,59,English,Yes,NA,5
C,high_prior,2,32984,11.41945,confirm,Josie loves France,10,0,ai,josie,block1,confirm,59,English,Yes,NA,6
C,high_prior,2,11888,11.41945,admit,Mary is taking a prenatal yoga class,11,0.98,ai,mary,block1,admit,59,English,Yes,NA,7
C,low_prior,2,11472,11.41945,announce,Mia is a nun,12,0.99,ai,mia,block1,announce,59,English,Yes,NA,8
MC,NA,2,9304,11.41945,MC,Ballet is a type of dance,13,0.020000000000000018,ai,ballet,block1,MC,59,English,Yes,NA,9
C,high_prior,2,10856,11.41945,suggest,Grace loves her sister,14,0.99,ai,grace,block1,suggest,59,English,Yes,NA,10
C,high_prior,2,18856,11.41945,confess,Frank has always wanted a pet,15,0.020000000000000018,ai,frank,block1,confess,59,English,Yes,NA,11
C,low_prior,2,39247,11.41945,be_annoyed,Zoe is 5 years old,16,0.79,ai,zoe,block1,be_annoyed,59,English,Yes,NA,12
C,high_prior,2,17263,11.41945,think,Owen lives in Chicago,17,0.98,ai,owen,block1,think,59,English,Yes,NA,13
C,low_prior,2,32984,11.41945,inform,Julian is German,18,0.010000000000000009,ai,julian,block1,inform,59,English,Yes,NA,14
MC,NA,2,11303,11.41945,MC,Many children like ice cream,19,0.020000000000000018,ai,kids,block1,MC,59,English,Yes,NA,15
MC,NA,2,8328,11.41945,MC,Garages are used to store cars and other things,20,0.010000000000000009,ai,garage,block1,MC,59,English,Yes,NA,16
C,low_prior,2,9160,11.41945,acknowledge,Sophia is a high end fashion model,21,0.020000000000000018,ai,sophia,block1,acknowledge,59,English,Yes,NA,17
C,high_prior,2,10992,11.41945,say,Charley lives in Mexico,22,0.010000000000000009,ai,charley,block1,say,59,English,Yes,NA,18
C,high_prior,2,20040,11.41945,discover,Josh is a 5-year old boy,23,0.24,ai,josh,block1,discover,59,English,Yes,NA,19
C,low_prior,2,17168,11.41945,demonstrate,Isabella is a vegetarian,24,0.36,ai,isabella,block1,demonstrate,59,English,Yes,NA,20
C,low_prior,2,23112,11.41945,reveal,Emma is in first grade,25,0.030000000000000027,ai,emma,block1,reveal,59,English,Yes,NA,21
C,high_prior,2,11856,11.41945,prove,Danny loves cake,26,0.010000000000000009,ai,danny,block1,prove,59,English,Yes,NA,22
MC,NA,2,6912,11.41945,MC,Muffins are sold at the bakery,27,0,ai,muffins,block1,MC,59,English,Yes,NA,23
MC,NA,2,6087,11.41945,MC,Hats are worn on the head,28,0,ai,hat,block1,MC,59,English,Yes,NA,24
C,low_prior,2,10224,11.41945,hear,Olivia has two small children,29,1,ai,olivia,block1,hear,59,English,Yes,NA,25
MC,NA,2,5312,11.41945,MC,Pizza is sold at the pizzeria,30,0,ai,pizza,block1,MC,59,English,Yes,NA,26
MC,NA,2,7911,11.41945,MC,Ballet is a type of dance,32,0,projective,ballet,block2,MC,59,English,Yes,NA,27
C,high_prior,2,20104,11.41945,confirm,Josie loves France,33,0,projective,josie,block2,confirm,59,English,Yes,NA,28
C,low_prior,2,7543,11.41945,acknowledge,Sophia is a high end fashion model,34,0,projective,sophia,block2,acknowledge,59,English,Yes,NA,29
MC,NA,2,3287,11.41945,MC,Muffins are sold at the bakery,35,0,projective,muffins,block2,MC,59,English,Yes,NA,30
C,high_prior,2,8591,11.41945,say,Charley lives in Mexico,36,0,projective,charley,block2,say,59,English,Yes,NA,31
C,low_prior,2,3936,11.41945,inform,Julian is German,37,0,projective,julian,block2,inform,59,English,Yes,NA,32
C,low_prior,2,8673,11.41945,establish,Tony has been sober for 20 years,38,0,projective,tony,block2,establish,59,English,Yes,NA,33
MC,NA,2,5287,11.41945,MC,Garages are used to store cars and other things,39,0,projective,garage,block2,MC,59,English,Yes,NA,34
C,low_prior,2,5999,11.41945,reveal,Emma is in first grade,40,0,projective,emma,block2,reveal,59,English,Yes,NA,35
MC,NA,2,2944,11.41945,MC,Pizza is sold at the pizzeria,41,0,projective,pizza,block2,MC,59,English,Yes,NA,36
C,low_prior,2,8561,11.41945,be_right,Jayden doesn't have a driver's license,42,0,projective,jayden,block2,be_right,59,English,Yes,NA,37
MC,NA,2,3344,11.41945,MC,Many children like ice cream,43,0,projective,kids,block2,MC,59,English,Yes,NA,38
MC,NA,2,5231,11.41945,MC,Hats are worn on the head,44,0,projective,hat,block2,MC,59,English,Yes,NA,39
C,high_prior,2,18288,11.41945,think,Owen lives in Chicago,45,0.63,projective,owen,block2,think,59,English,Yes,NA,40
C,high_prior,2,9368,11.41945,admit,Mary is taking a prenatal yoga class,46,1,projective,mary,block2,admit,59,English,Yes,NA,41
C,low_prior,2,4655,11.41945,be_annoyed,Zoe is 5 years old,47,0.77,projective,zoe,block2,be_annoyed,59,English,Yes,NA,42
C,low_prior,2,5216,11.41945,announce,Mia is a nun,48,0,projective,mia,block2,announce,59,English,Yes,NA,43
C,low_prior,2,6272,11.41945,see,Emily never has any money,49,0,projective,emily,block2,see,59,English,Yes,NA,44
C,low_prior,2,6568,11.41945,hear,Olivia has two small children,50,0,projective,olivia,block2,hear,59,English,Yes,NA,45
C,high_prior,2,9416,11.41945,discover,Josh is a 5-year old boy,51,0.2,projective,josh,block2,discover,59,English,Yes,NA,46
C,high_prior,2,7080,11.41945,confess,Frank has always wanted a pet,52,0.66,projective,frank,block2,confess,59,English,Yes,NA,47
C,high_prior,2,3624,11.41945,prove,Danny loves cake,53,0.75,projective,danny,block2,prove,59,English,Yes,NA,48
C,high_prior,2,3672,11.41945,know,Jackson is training for a marathon,54,1,projective,jackson,block2,know,59,English,Yes,NA,49
C,high_prior,2,4656,11.41945,pretend,Jon lives 2 blocks away from work,55,0.22,projective,jon,block2,pretend,59,English,Yes,NA,50
C,low_prior,2,3888,11.41945,demonstrate,Isabella is a vegetarian,56,0.2,projective,isabella,block2,demonstrate,59,English,Yes,NA,51
C,high_prior,2,13000,11.41945,suggest,Grace loves her sister,57,0.18,projective,grace,block2,suggest,59,English,Yes,NA,52
C,high_prior,3,13662,8.092116666666668,reveal,Olivia works the third shift,5,1,ai,olivia,block1,reveal,25,English,Yes,This was very interesting and fun to complete and think about.,1
C,low_prior,3,10060,8.092116666666668,pretend,Tony has been sober for 20 years,6,1,ai,tony,block1,pretend,25,English,Yes,This was very interesting and fun to complete and think about.,2
C,low_prior,3,10745,8.092116666666668,think,Frank is allergic to cats,7,1,ai,frank,block1,think,25,English,Yes,This was very interesting and fun to complete and think about.,3
C,high_prior,3,19955,8.092116666666668,suggest,Emma is in law school,8,0.39,ai,emma,block1,suggest,25,English,Yes,This was very interesting and fun to complete and think about.,4
C,low_prior,3,7335,8.092116666666668,see,Sophia is a high end fashion model,9,1,ai,sophia,block1,see,25,English,Yes,This was very interesting and fun to complete and think about.,5
MC,NA,3,7536,8.092116666666668,MC,Garages are used to store cars and other things,10,0,ai,garage,block1,MC,25,English,Yes,This was very interesting and fun to complete and think about.,6
C,low_prior,3,8146,8.092116666666668,know,Owen lives in New Orleans,11,1,ai,owen,block1,know,25,English,Yes,This was very interesting and fun to complete and think about.,7
C,high_prior,3,17864,8.092116666666668,announce,Josh is a 5-year old boy,12,0.19999999999999996,ai,josh,block1,announce,25,English,Yes,This was very interesting and fun to complete and think about.,8
C,high_prior,3,16012,8.092116666666668,discover,Isabella is from Argentina,13,0.9,ai,isabella,block1,discover,25,English,Yes,This was very interesting and fun to complete and think about.,9
C,high_prior,3,10742,8.092116666666668,confess,Josie loves France,14,0.35,ai,josie,block1,confess,25,English,Yes,This was very interesting and fun to complete and think about.,10
C,high_prior,3,4551,8.092116666666668,be_right,Jackson is training for a marathon,15,0,ai,jackson,block1,be_right,25,English,Yes,This was very interesting and fun to complete and think about.,11
C,high_prior,3,6037,8.092116666666668,be_annoyed,Julian is Cuban,16,1,ai,julian,block1,be_annoyed,25,English,Yes,This was very interesting and fun to complete and think about.,12
MC,NA,3,5500,8.092116666666668,MC,Hats are worn on the head,17,0,ai,hat,block1,MC,25,English,Yes,This was very interesting and fun to complete and think about.,13
C,low_prior,3,8970,8.092116666666668,demonstrate,Jon lives 10 miles away from work,18,0.24,ai,jon,block1,demonstrate,25,English,Yes,This was very interesting and fun to complete and think about.,14
C,low_prior,3,7144,8.092116666666668,inform,Danny is a diabetic,19,0.8200000000000001,ai,danny,block1,inform,25,English,Yes,This was very interesting and fun to complete and think about.,15
MC,NA,3,7153,8.092116666666668,MC,Muffins are sold at the bakery,20,0,ai,muffins,block1,MC,25,English,Yes,This was very interesting and fun to complete and think about.,16
C,high_prior,3,7153,8.092116666666668,establish,Charley lives in Mexico,21,0.12,ai,charley,block1,establish,25,English,Yes,This was very interesting and fun to complete and think about.,17
C,low_prior,3,7185,8.092116666666668,admit,Mary is a middle school student,22,0.09999999999999998,ai,mary,block1,admit,25,English,Yes,This was very interesting and fun to complete and think about.,18
MC,NA,3,7691,8.092116666666668,MC,Many children like ice cream,23,0,ai,kids,block1,MC,25,English,Yes,This was very interesting and fun to complete and think about.,19
C,low_prior,3,8594,8.092116666666668,hear,Mia is a nun,24,1,ai,mia,block1,hear,25,English,Yes,This was very interesting and fun to complete and think about.,20
C,high_prior,3,5952,8.092116666666668,say,Zoe is a math major,25,0,ai,zoe,block1,say,25,English,Yes,This was very interesting and fun to complete and think about.,21
MC,NA,3,4740,8.092116666666668,MC,Pizza is sold at the pizzeria,26,0,ai,pizza,block1,MC,25,English,Yes,This was very interesting and fun to complete and think about.,22
MC,NA,3,8719,8.092116666666668,MC,Ballet is a type of dance,27,0,ai,ballet,block1,MC,25,English,Yes,This was very interesting and fun to complete and think about.,23
C,high_prior,3,5695,8.092116666666668,confirm,Grace loves her sister,28,0.14,ai,grace,block1,confirm,25,English,Yes,This was very interesting and fun to complete and think about.,24
C,low_prior,3,8525,8.092116666666668,acknowledge,Jayden doesn't have a driver's license,29,0.14,ai,jayden,block1,acknowledge,25,English,Yes,This was very interesting and fun to complete and think about.,25
C,low_prior,3,8363,8.092116666666668,prove,Emily never has any money,30,0.37,ai,emily,block1,prove,25,English,Yes,This was very interesting and fun to complete and think about.,26
C,low_prior,3,8075,8.092116666666668,demonstrate,Jon lives 10 miles away from work,32,0,projective,jon,block2,demonstrate,25,English,Yes,This was very interesting and fun to complete and think about.,27
C,low_prior,3,5942,8.092116666666668,think,Frank is allergic to cats,33,0.17,projective,frank,block2,think,25,English,Yes,This was very interesting and fun to complete and think about.,28
MC,NA,3,8753,8.092116666666668,MC,Many children like ice cream,34,0,projective,kids,block2,MC,25,English,Yes,This was very interesting and fun to complete and think about.,29
C,high_prior,3,6426,8.092116666666668,confirm,Grace loves her sister,35,0,projective,grace,block2,confirm,25,English,Yes,This was very interesting and fun to complete and think about.,30
C,high_prior,3,9515,8.092116666666668,announce,Josh is a 5-year old boy,36,0.26,projective,josh,block2,announce,25,English,Yes,This was very interesting and fun to complete and think about.,31
MC,NA,3,6250,8.092116666666668,MC,Ballet is a type of dance,37,0,projective,ballet,block2,MC,25,English,Yes,This was very interesting and fun to complete and think about.,32
MC,NA,3,3650,8.092116666666668,MC,Pizza is sold at the pizzeria,38,0,projective,pizza,block2,MC,25,English,Yes,This was very interesting and fun to complete and think about.,33
C,low_prior,3,5392,8.092116666666668,prove,Emily never has any money,39,0,projective,emily,block2,prove,25,English,Yes,This was very interesting and fun to complete and think about.,34
C,low_prior,3,4461,8.092116666666668,admit,Mary is a middle school student,40,0,projective,mary,block2,admit,25,English,Yes,This was very interesting and fun to complete and think about.,35
C,low_prior,3,6071,8.092116666666668,acknowledge,Jayden doesn't have a driver's license,41,0.15,projective,jayden,block2,acknowledge,25,English,Yes,This was very interesting and fun to complete and think about.,36
MC,NA,3,12451,8.092116666666668,MC,Hats are worn on the head,42,0,projective,hat,block2,MC,25,English,Yes,This was very interesting and fun to complete and think about.,37
C,high_prior,3,5148,8.092116666666668,suggest,Emma is in law school,43,0,projective,emma,block2,suggest,25,English,Yes,This was very interesting and fun to complete and think about.,38
C,high_prior,3,7088,8.092116666666668,say,Zoe is a math major,44,0.12,projective,zoe,block2,say,25,English,Yes,This was very interesting and fun to complete and think about.,39
C,low_prior,3,6257,8.092116666666668,hear,Mia is a nun,45,1,projective,mia,block2,hear,25,English,Yes,This was very interesting and fun to complete and think about.,40
C,low_prior,3,8053,8.092116666666668,inform,Danny is a diabetic,46,0.92,projective,danny,block2,inform,25,English,Yes,This was very interesting and fun to complete and think about.,41
C,high_prior,3,6207,8.092116666666668,be_right,Jackson is training for a marathon,47,0,projective,jackson,block2,be_right,25,English,Yes,This was very interesting and fun to complete and think about.,42
C,high_prior,3,5911,8.092116666666668,be_annoyed,Julian is Cuban,48,1,projective,julian,block2,be_annoyed,25,English,Yes,This was very interesting and fun to complete and think about.,43
C,low_prior,3,5736,8.092116666666668,see,Sophia is a high end fashion model,49,1,projective,sophia,block2,see,25,English,Yes,This was very interesting and fun to complete and think about.,44
C,high_prior,3,8253,8.092116666666668,reveal,Olivia works the third shift,50,0.58,projective,olivia,block2,reveal,25,English,Yes,This was very interesting and fun to complete and think about.,45
MC,NA,3,6424,8.092116666666668,MC,Muffins are sold at the bakery,51,0,projective,muffins,block2,MC,25,English,Yes,This was very interesting and fun to complete and think about.,46
C,low_prior,3,5942,8.092116666666668,pretend,Tony has been sober for 20 years,52,0,projective,tony,block2,pretend,25,English,Yes,This was very interesting and fun to complete and think about.,47
C,high_prior,3,5428,8.092116666666668,discover,Isabella is from Argentina,53,1,projective,isabella,block2,discover,25,English,Yes,This was very interesting and fun to complete and think about.,48
C,high_prior,3,9309,8.092116666666668,confess,Josie loves France,54,0.2,projective,josie,block2,confess,25,English,Yes,This was very interesting and fun to complete and think about.,49
MC,NA,3,5894,8.092116666666668,MC,Garages are used to store cars and other things,55,0,projective,garage,block2,MC,25,English,Yes,This was very interesting and fun to complete and think about.,50
C,high_prior,3,10621,8.092116666666668,establish,Charley lives in Mexico,56,0.32,projective,charley,block2,establish,25,English,Yes,This was very interesting and fun to complete and think about.,51
