trigger_class,Answer.time_in_minutes,slide_number_in_experiment,rt,prior_fact,content,question_type,short_trigger,block,response,workerid,prior,trigger
C,9.249233333333333,39,2857,Isabella is from Argentina,isabella,projective,be_right,block1,0.73,0,high_prior,be_right
C,9.249233333333333,40,3125,Emily has been saving for a year,emily,projective,discover,block1,0.31,0,high_prior,discover
C,9.249233333333333,41,2763,Grace hates her sister,grace,projective,admit,block1,0.72,0,low_prior,admit
C,9.249233333333333,42,2459,Josie loves France,josie,projective,be_annoyed,block1,0.65,0,high_prior,be_annoyed
MC,9.249233333333333,43,2856,Muffins are sold at the bakery,muffins,projective,MC,block1,0.34,0,,MC
C,9.249233333333333,44,2428,Charley lives in Mexico,charley,projective,reveal,block1,0.72,0,high_prior,reveal
C,9.249233333333333,45,3408,Olivia has two small children,olivia,projective,demonstrate,block1,0.63,0,low_prior,demonstrate
C,9.249233333333333,46,6688,Josh is a 75-year old man,josh,projective,confirm,block1,0.26,0,low_prior,confirm
C,9.249233333333333,47,4353,Tony really likes to party with his friends,tony,projective,suggest,block1,0.89,0,high_prior,suggest
C,9.249233333333333,48,7637,Mia is a nun,mia,projective,acknowledge,block1,0.11,0,low_prior,acknowledge
MC,9.249233333333333,49,3632,Ballet is a type of dance,ballet,projective,MC,block1,0.36,0,,MC
MC,9.249233333333333,50,2802,Pizza is sold at the pizzeria,pizza,projective,MC,block1,0.75,0,,MC
C,9.249233333333333,51,2196,Owen lives in Chicago,owen,projective,establish,block1,0.28,0,high_prior,establish
C,9.249233333333333,52,4596,Danny loves cake,danny,projective,say,block1,0.83,0,high_prior,say
C,9.249233333333333,53,3863,Zoe is 5 years old,zoe,projective,know,block1,0.66,0,low_prior,know
C,9.249233333333333,54,2990,Julian is German,julian,projective,see,block1,0.62,0,low_prior,see
C,9.249233333333333,55,2392,Mary is taking a prenatal yoga class,mary,projective,think,block1,0.71,0,high_prior,think
MC,9.249233333333333,56,4119,Garages are used to store cars and other things,garage,projective,MC,block1,0.15,0,,MC
MC,9.249233333333333,57,3751,Many children like ice cream,kids,projective,MC,block1,0.18,0,,MC
MC,9.249233333333333,59,9325,Garages are used to store cars and other things,garage,ai,MC,block2,0.85,0,,MC
C,9.249233333333333,60,9677,Isabella is from Argentina,isabella,ai,be_right,block2,0.21,0,high_prior,be_right
C,9.249233333333333,61,4022,Josie loves France,josie,ai,be_annoyed,block2,0.86,0,high_prior,be_annoyed
C,9.249233333333333,62,3997,Mary is taking a prenatal yoga class,mary,ai,think,block2,0.91,0,high_prior,think
C,9.249233333333333,63,3739,Owen lives in Chicago,owen,ai,establish,block2,0.77,0,high_prior,establish
C,9.249233333333333,64,5444,Tony really likes to party with his friends,tony,ai,suggest,block2,0.8,0,high_prior,suggest
C,9.249233333333333,65,6790,Jayden's car is in the shop,jayden,ai,prove,block2,0.22,0,high_prior,prove
C,9.249233333333333,66,7376,Julian is German,julian,ai,see,block2,0.27,0,low_prior,see
C,9.249233333333333,67,6431,Grace hates her sister,grace,ai,admit,block2,0.86,0,low_prior,admit
C,9.249233333333333,68,5461,Jon lives 10 miles away from work,jon,ai,hear,block2,0.89,0,low_prior,hear
C,9.249233333333333,69,3268,Mia is a nun,mia,ai,acknowledge,block2,0.29,0,low_prior,acknowledge
C,9.249233333333333,70,2418,Emma is in first grade,emma,ai,announce,block2,0.52,0,low_prior,announce
MC,9.249233333333333,71,3934,Hats are worn on the head,hat,ai,MC,block2,0.87,0,,MC
C,9.249233333333333,72,5137,Olivia has two small children,olivia,ai,demonstrate,block2,0.28,0,low_prior,demonstrate
C,9.249233333333333,73,4841,Sophia is a high end fashion model,sophia,ai,pretend,block2,0.27,0,low_prior,pretend
MC,9.249233333333333,74,3433,Ballet is a type of dance,ballet,ai,MC,block2,0.83,0,,MC
C,9.249233333333333,75,7971,Frank is allergic to cats,frank,ai,confess,block2,0.17,0,low_prior,confess
MC,9.249233333333333,76,6018,Many children like ice cream,kids,ai,MC,block2,0.87,0,,MC
C,9.249233333333333,77,7208,Danny loves cake,danny,ai,say,block2,0.2,0,high_prior,say
MC,9.249233333333333,78,5026,Muffins are sold at the bakery,muffins,ai,MC,block2,0.94,0,,MC
C,9.249233333333333,79,5494,Zoe is 5 years old,zoe,ai,know,block2,0.2,0,low_prior,know
C,9.249233333333333,80,4706,Jackson is training for a marathon,jackson,ai,inform,block2,0.24,0,high_prior,inform
C,9.249233333333333,81,4720,Charley lives in Mexico,charley,ai,reveal,block2,0.27,0,high_prior,reveal
C,9.249233333333333,82,3911,Josh is a 75-year old man,josh,ai,confirm,block2,0.3,0,low_prior,confirm
C,9.249233333333333,83,5764,Emily has been saving for a year,emily,ai,discover,block2,0.41,0,high_prior,discover
MC,9.249233333333333,84,3787,Pizza is sold at the pizzeria,pizza,ai,MC,block2,0.93,0,,MC
C,11.123416666666667,5,3234,Isabella is a vegetarian,isabella,prior,establish,block0,0.04,1,low_prior,establish
C,11.123416666666667,6,2768,Josh is a 75-year old man,josh,prior,suggest,block0,0.1,1,low_prior,suggest
C,11.123416666666667,7,2306,Charley lives in Mexico,charley,prior,admit,block0,0.94,1,high_prior,admit
MC,11.123416666666667,8,7921,Garages are used to store cars and other things,garage,prior,MC,block0,0.33,1,,MC
C,11.123416666666667,9,2778,Julian is Cuban,julian,prior,pretend,block0,0.7,1,high_prior,pretend
MC,11.123416666666667,10,5327,Ballet is a type of dance,ballet,prior,MC,block0,0.51,1,,MC
C,11.123416666666667,11,4795,Sophia is a high end fashion model,sophia,prior,hear,block0,0.23,1,low_prior,hear
MC,11.123416666666667,12,3385,Hats are worn on the head,hat,prior,MC,block0,0.51,1,,MC
C,11.123416666666667,13,3703,Owen lives in Chicago,owen,prior,demonstrate,block0,0.64,1,high_prior,demonstrate
C,11.123416666666667,14,3130,Tony really likes to party with his friends,tony,prior,prove,block0,0.53,1,high_prior,prove
C,11.123416666666667,15,3202,Grace loves her sister,grace,prior,see,block0,0.75,1,high_prior,see
C,11.123416666666667,16,8334,Jayden doesn't have a driver's license,jayden,prior,say,block0,0,1,low_prior,say
MC,11.123416666666667,17,5246,Many children like ice cream,kids,prior,MC,block0,0.29,1,,MC
MC,11.123416666666667,18,2595,Muffins are sold at the bakery,muffins,prior,MC,block0,0.49,1,,MC
C,11.123416666666667,19,2545,Jon lives 2 blocks away from work,jon,prior,think,block0,0.65,1,high_prior,think
C,11.123416666666667,20,3591,Emma is in first grade,emma,prior,discover,block0,0.17,1,low_prior,discover
C,11.123416666666667,21,3503,Olivia has two small children,olivia,prior,acknowledge,block0,0.04,1,low_prior,acknowledge
C,11.123416666666667,22,11397,Danny loves cake,danny,prior,be_annoyed,block0,0.68,1,high_prior,be_annoyed
MC,11.123416666666667,23,2690,Pizza is sold at the pizzeria,pizza,prior,MC,block0,0.48,1,,MC
C,11.123416666666667,24,2700,Jackson is obese,jackson,prior,be_right,block0,0.03,1,low_prior,be_right
C,11.123416666666667,25,2426,Mia is a nun,mia,prior,announce,block0,0.02,1,low_prior,announce
C,11.123416666666667,26,2603,Zoe is a math major,zoe,prior,know,block0,0.76,1,high_prior,know
C,11.123416666666667,27,4000,Emily never has any money,emily,prior,confirm,block0,0,1,low_prior,confirm
C,11.123416666666667,28,3137,Frank is allergic to cats,frank,prior,confess,block0,0.01,1,low_prior,confess
C,11.123416666666667,29,18582,Mary is taking a prenatal yoga class,mary,prior,inform,block0,0.75,1,high_prior,inform
C,11.123416666666667,30,2840,Josie loves France,josie,prior,reveal,block0,0.62,1,high_prior,reveal
MC,11.123416666666667,32,8174,Muffins are sold at the bakery,muffins,projective,MC,block1,0.12,1,,MC
C,11.123416666666667,33,7808,Emma is in first grade,emma,projective,discover,block1,0.9,1,low_prior,discover
C,11.123416666666667,34,44839,Josie loves France,josie,projective,reveal,block1,0.79,1,high_prior,reveal
C,11.123416666666667,35,10640,Frank is allergic to cats,frank,projective,confess,block1,0.26,1,low_prior,confess
MC,11.123416666666667,36,28892,Pizza is sold at the pizzeria,pizza,projective,MC,block1,0.33,1,,MC
C,11.123416666666667,37,6992,Mia is a nun,mia,projective,announce,block1,0.1,1,low_prior,announce
C,11.123416666666667,38,4817,Emily never has any money,emily,projective,confirm,block1,0.32,1,low_prior,confirm
C,11.123416666666667,39,3442,Danny loves cake,danny,projective,be_annoyed,block1,0.89,1,high_prior,be_annoyed
C,11.123416666666667,40,2132,Charley lives in Mexico,charley,projective,admit,block1,0.84,1,high_prior,admit
C,11.123416666666667,41,2358,Mary is taking a prenatal yoga class,mary,projective,inform,block1,0.86,1,high_prior,inform
C,11.123416666666667,42,2357,Grace loves her sister,grace,projective,see,block1,0.64,1,high_prior,see
MC,11.123416666666667,43,3131,Garages are used to store cars and other things,garage,projective,MC,block1,0.29,1,,MC
C,11.123416666666667,44,2507,Julian is Cuban,julian,projective,pretend,block1,0.49,1,high_prior,pretend
C,11.123416666666667,45,4587,Owen lives in Chicago,owen,projective,demonstrate,block1,0.35,1,high_prior,demonstrate
C,11.123416666666667,46,92349,Olivia has two small children,olivia,projective,acknowledge,block1,0.3,1,low_prior,acknowledge
MC,11.123416666666667,47,4768,Ballet is a type of dance,ballet,projective,MC,block1,0.17,1,,MC
C,11.123416666666667,48,4619,Isabella is a vegetarian,isabella,projective,establish,block1,0.32,1,low_prior,establish
C,11.123416666666667,49,4392,Sophia is a high end fashion model,sophia,projective,hear,block1,0.65,1,low_prior,hear
C,11.123416666666667,50,3143,Josh is a 75-year old man,josh,projective,suggest,block1,0.26,1,low_prior,suggest
C,11.123416666666667,51,3002,Jackson is obese,jackson,projective,be_right,block1,0.12,1,low_prior,be_right
C,11.123416666666667,52,2492,Zoe is a math major,zoe,projective,know,block1,0.7,1,high_prior,know
MC,11.123416666666667,53,2322,Hats are worn on the head,hat,projective,MC,block1,0.15,1,,MC
C,11.123416666666667,54,2414,Jayden doesn't have a driver's license,jayden,projective,say,block1,0.35,1,low_prior,say
C,11.123416666666667,55,3251,Tony really likes to party with his friends,tony,projective,prove,block1,0.32,1,high_prior,prove
MC,11.123416666666667,56,1889,Many children like ice cream,kids,projective,MC,block1,0.21,1,,MC
C,11.123416666666667,57,3406,Jon lives 2 blocks away from work,jon,projective,think,block1,0.33,1,high_prior,think
C,11.123416666666667,59,51846,Mia is a nun,mia,ai,announce,block2,0.3,1,low_prior,announce
C,11.123416666666667,60,2712,Sophia is a high end fashion model,sophia,ai,hear,block2,0.43,1,low_prior,hear
MC,11.123416666666667,61,1183,Garages are used to store cars and other things,garage,ai,MC,block2,0.28,1,,MC
C,11.123416666666667,62,1002,Olivia has two small children,olivia,ai,acknowledge,block2,0.66,1,low_prior,acknowledge
C,11.123416666666667,63,1024,Josie loves France,josie,ai,reveal,block2,0.4,1,high_prior,reveal
C,11.123416666666667,64,1382,Isabella is a vegetarian,isabella,ai,establish,block2,0.52,1,low_prior,establish
MC,11.123416666666667,65,2933,Muffins are sold at the bakery,muffins,ai,MC,block2,0.3,1,,MC
C,11.123416666666667,66,1147,Frank is allergic to cats,frank,ai,confess,block2,0.69,1,low_prior,confess
C,11.123416666666667,67,974,Emily never has any money,emily,ai,confirm,block2,0.4,1,low_prior,confirm
C,11.123416666666667,68,810,Zoe is a math major,zoe,ai,know,block2,0.26,1,high_prior,know
MC,11.123416666666667,69,819,Ballet is a type of dance,ballet,ai,MC,block2,0.49,1,,MC
C,11.123416666666667,70,769,Josh is a 75-year old man,josh,ai,suggest,block2,0.38,1,low_prior,suggest
C,11.123416666666667,71,3729,Danny loves cake,danny,ai,be_annoyed,block2,0.68,1,high_prior,be_annoyed
MC,11.123416666666667,72,1526,Pizza is sold at the pizzeria,pizza,ai,MC,block2,0.26,1,,MC
C,11.123416666666667,73,739,Jackson is obese,jackson,ai,be_right,block2,0.52,1,low_prior,be_right
MC,11.123416666666667,74,1441,Hats are worn on the head,hat,ai,MC,block2,0.38,1,,MC
C,11.123416666666667,75,931,Mary is taking a prenatal yoga class,mary,ai,inform,block2,0.66,1,high_prior,inform
C,11.123416666666667,76,884,Jon lives 2 blocks away from work,jon,ai,think,block2,0.23,1,high_prior,think
C,11.123416666666667,77,939,Jayden doesn't have a driver's license,jayden,ai,say,block2,0.33,1,low_prior,say
C,11.123416666666667,78,886,Charley lives in Mexico,charley,ai,admit,block2,0.15,1,high_prior,admit
MC,11.123416666666667,79,1019,Many children like ice cream,kids,ai,MC,block2,0.76,1,,MC
C,11.123416666666667,80,786,Owen lives in Chicago,owen,ai,demonstrate,block2,0.53,1,high_prior,demonstrate
C,11.123416666666667,81,1010,Tony really likes to party with his friends,tony,ai,prove,block2,0.37,1,high_prior,prove
C,11.123416666666667,82,1247,Emma is in first grade,emma,ai,discover,block2,0.31,1,low_prior,discover
C,11.123416666666667,83,1236,Grace loves her sister,grace,ai,see,block2,0.63,1,high_prior,see
C,11.123416666666667,84,155647,Julian is Cuban,julian,ai,pretend,block2,0.67,1,high_prior,pretend
C,21.957583333333332,5,17097,Owen lives in Chicago,owen,prior,discover,block0,0.78,2,high_prior,discover
C,21.957583333333332,6,13642,Jackson is obese,jackson,prior,demonstrate,block0,0.05,2,low_prior,demonstrate
C,21.957583333333332,7,35168,Zoe is 5 years old,zoe,prior,prove,block0,0.04,2,low_prior,prove
C,21.957583333333332,8,17015,Tony really likes to party with his friends,tony,prior,reveal,block0,0.55,2,high_prior,reveal
C,21.957583333333332,9,6893,Danny loves cake,danny,prior,inform,block0,0.58,2,high_prior,inform
MC,21.957583333333332,10,26538,Garages are used to store cars and other things,garage,prior,MC,block0,0.23,2,,MC
C,21.957583333333332,11,8988,Charley lives in Mexico,charley,prior,admit,block0,0.65,2,high_prior,admit
C,21.957583333333332,12,12198,Mia is a nun,mia,prior,be_annoyed,block0,0.1,2,low_prior,be_annoyed
C,21.957583333333332,13,11871,Olivia has two small children,olivia,prior,be_right,block0,0.1,2,low_prior,be_right
C,21.957583333333332,14,7836,Grace hates her sister,grace,prior,know,block0,0.14,2,low_prior,know
C,21.957583333333332,15,68860,Josie loves France,josie,prior,see,block0,0.69,2,high_prior,see
C,21.957583333333332,16,7275,Frank is allergic to cats,frank,prior,say,block0,0.01,2,low_prior,say
C,21.957583333333332,17,10459,Isabella is from Argentina,isabella,prior,confess,block0,0.54,2,high_prior,confess
C,21.957583333333332,18,9672,Emma is in first grade,emma,prior,pretend,block0,0.41,2,low_prior,pretend
MC,21.957583333333332,19,8866,Pizza is sold at the pizzeria,pizza,prior,MC,block0,0.52,2,,MC
C,21.957583333333332,20,8486,Sophia is a hipster,sophia,prior,establish,block0,0.58,2,high_prior,establish
MC,21.957583333333332,21,28795,Ballet is a type of dance,ballet,prior,MC,block0,0.5,2,,MC
MC,21.957583333333332,22,5870,Hats are worn on the head,hat,prior,MC,block0,0.53,2,,MC
C,21.957583333333332,23,116394,Jon lives 10 miles away from work,jon,prior,think,block0,0.05,2,low_prior,think
C,21.957583333333332,24,14013,Jayden doesn't have a driver's license,jayden,prior,hear,block0,0,2,low_prior,hear
C,21.957583333333332,25,7788,Julian is Cuban,julian,prior,announce,block0,0.65,2,high_prior,announce
C,21.957583333333332,26,6461,Emily has been saving for a year,emily,prior,suggest,block0,0.49,2,high_prior,suggest
C,21.957583333333332,27,5887,Josh is a 5-year old boy,josh,prior,acknowledge,block0,0.63,2,high_prior,acknowledge
MC,21.957583333333332,28,10011,Many children like ice cream,kids,prior,MC,block0,0.5,2,,MC
C,21.957583333333332,29,6816,Mary is a middle school student,mary,prior,confirm,block0,0.11,2,low_prior,confirm
MC,21.957583333333332,30,12359,Muffins are sold at the bakery,muffins,prior,MC,block0,0.58,2,,MC
C,21.957583333333332,32,30800,Julian is Cuban,julian,projective,announce,block1,0.78,2,high_prior,announce
MC,21.957583333333332,33,14376,Pizza is sold at the pizzeria,pizza,projective,MC,block1,0.01,2,,MC
C,21.957583333333332,34,20029,Jackson is obese,jackson,projective,demonstrate,block1,0.03,2,low_prior,demonstrate
C,21.957583333333332,35,14660,Isabella is from Argentina,isabella,projective,confess,block1,0.75,2,high_prior,confess
C,21.957583333333332,36,12742,Frank is allergic to cats,frank,projective,say,block1,0,2,low_prior,say
C,21.957583333333332,37,17980,Olivia has two small children,olivia,projective,be_right,block1,0,2,low_prior,be_right
MC,21.957583333333332,38,22612,Many children like ice cream,kids,projective,MC,block1,0,2,,MC
C,21.957583333333332,39,8801,Mary is a middle school student,mary,projective,confirm,block1,0.05,2,low_prior,confirm
C,21.957583333333332,40,12564,Jon lives 10 miles away from work,jon,projective,think,block1,0.03,2,low_prior,think
C,21.957583333333332,41,10760,Tony really likes to party with his friends,tony,projective,reveal,block1,0.7,2,high_prior,reveal
MC,21.957583333333332,42,13230,Hats are worn on the head,hat,projective,MC,block1,0.17,2,,MC
C,21.957583333333332,43,31801,Jayden doesn't have a driver's license,jayden,projective,hear,block1,0.89,2,low_prior,hear
C,21.957583333333332,44,17145,Josh is a 5-year old boy,josh,projective,acknowledge,block1,0.74,2,high_prior,acknowledge
C,21.957583333333332,45,23139,Josie loves France,josie,projective,see,block1,0.98,2,high_prior,see
C,21.957583333333332,46,28335,Emma is in first grade,emma,projective,pretend,block1,0,2,low_prior,pretend
MC,21.957583333333332,47,9176,Muffins are sold at the bakery,muffins,projective,MC,block1,0,2,,MC
C,21.957583333333332,48,9499,Charley lives in Mexico,charley,projective,admit,block1,0.84,2,high_prior,admit
C,21.957583333333332,49,12905,Mia is a nun,mia,projective,be_annoyed,block1,0.99,2,low_prior,be_annoyed
C,21.957583333333332,50,10270,Emily has been saving for a year,emily,projective,suggest,block1,0.01,2,high_prior,suggest
C,21.957583333333332,51,7897,Grace hates her sister,grace,projective,know,block1,0.99,2,low_prior,know
C,21.957583333333332,52,13343,Danny loves cake,danny,projective,inform,block1,0.88,2,high_prior,inform
C,21.957583333333332,53,9473,Sophia is a hipster,sophia,projective,establish,block1,0.09,2,high_prior,establish
C,21.957583333333332,54,16708,Owen lives in Chicago,owen,projective,discover,block1,0.31,2,high_prior,discover
C,21.957583333333332,55,7744,Zoe is 5 years old,zoe,projective,prove,block1,0.1,2,low_prior,prove
MC,21.957583333333332,56,8278,Ballet is a type of dance,ballet,projective,MC,block1,0,2,,MC
MC,21.957583333333332,57,8270,Garages are used to store cars and other things,garage,projective,MC,block1,0.01,2,,MC
MC,21.957583333333332,59,8489,Garages are used to store cars and other things,garage,ai,MC,block2,0.99,2,,MC
C,21.957583333333332,60,13669,Josie loves France,josie,ai,see,block2,0.02,2,high_prior,see
C,21.957583333333332,61,10032,Julian is Cuban,julian,ai,announce,block2,0.98,2,high_prior,announce
MC,21.957583333333332,62,7798,Muffins are sold at the bakery,muffins,ai,MC,block2,1,2,,MC
C,21.957583333333332,63,9643,Isabella is from Argentina,isabella,ai,confess,block2,0,2,high_prior,confess
MC,21.957583333333332,64,5726,Hats are worn on the head,hat,ai,MC,block2,1,2,,MC
C,21.957583333333332,65,8065,Owen lives in Chicago,owen,ai,discover,block2,0.22,2,high_prior,discover
MC,21.957583333333332,66,7015,Pizza is sold at the pizzeria,pizza,ai,MC,block2,1,2,,MC
C,21.957583333333332,67,7287,Grace hates her sister,grace,ai,know,block2,0,2,low_prior,know
C,21.957583333333332,68,10279,Zoe is 5 years old,zoe,ai,prove,block2,0.75,2,low_prior,prove
C,21.957583333333332,69,10581,Tony really likes to party with his friends,tony,ai,reveal,block2,0.82,2,high_prior,reveal
MC,21.957583333333332,70,6091,Ballet is a type of dance,ballet,ai,MC,block2,1,2,,MC
C,21.957583333333332,71,7440,Charley lives in Mexico,charley,ai,admit,block2,0.77,2,high_prior,admit
C,21.957583333333332,72,11267,Mary is a middle school student,mary,ai,confirm,block2,0.85,2,low_prior,confirm
C,21.957583333333332,73,11727,Jon lives 10 miles away from work,jon,ai,think,block2,0,2,low_prior,think
C,21.957583333333332,74,11344,Josh is a 5-year old boy,josh,ai,acknowledge,block2,0.98,2,high_prior,acknowledge
C,21.957583333333332,75,7710,Sophia is a hipster,sophia,ai,establish,block2,0.98,2,high_prior,establish
C,21.957583333333332,76,6675,Frank is allergic to cats,frank,ai,say,block2,0.99,2,low_prior,say
C,21.957583333333332,77,6125,Olivia has two small children,olivia,ai,be_right,block2,0.99,2,low_prior,be_right
C,21.957583333333332,78,14902,Mia is a nun,mia,ai,be_annoyed,block2,0.02,2,low_prior,be_annoyed
C,21.957583333333332,79,5724,Emily has been saving for a year,emily,ai,suggest,block2,0.98,2,high_prior,suggest
C,21.957583333333332,80,8089,Emma is in first grade,emma,ai,pretend,block2,0.01,2,low_prior,pretend
C,21.957583333333332,81,8134,Danny loves cake,danny,ai,inform,block2,0.01,2,high_prior,inform
C,21.957583333333332,82,10528,Jackson is obese,jackson,ai,demonstrate,block2,0.21,2,low_prior,demonstrate
C,21.957583333333332,83,10764,Jayden doesn't have a driver's license,jayden,ai,hear,block2,0,2,low_prior,hear
MC,21.957583333333332,84,8617,Many children like ice cream,kids,ai,MC,block2,1,2,,MC
MC,8.172466666666667,5,6669,Many children like ice cream,kids,prior,MC,block0,0.96,3,,MC
C,8.172466666666667,6,5920,Frank has always wanted a pet,frank,prior,pretend,block0,0.97,3,high_prior,pretend
C,8.172466666666667,7,4431,Sophia is a hipster,sophia,prior,be_right,block0,0.8,3,high_prior,be_right
C,8.172466666666667,8,5824,Jayden doesn't have a driver's license,jayden,prior,demonstrate,block0,0.04,3,low_prior,demonstrate
C,8.172466666666667,9,17079,Emma is in law school,emma,prior,acknowledge,block0,0.88,3,high_prior,acknowledge
C,8.172466666666667,10,6792,Mia is a nun,mia,prior,prove,block0,0.02,3,low_prior,prove
C,8.172466666666667,11,7319,Charley lives in Mexico,charley,prior,think,block0,0.49,3,high_prior,think
C,8.172466666666667,12,4248,Zoe is a math major,zoe,prior,reveal,block0,0.96,3,high_prior,reveal
C,8.172466666666667,13,5231,Grace hates her sister,grace,prior,admit,block0,0.06,3,low_prior,admit
MC,8.172466666666667,14,9143,Hats are worn on the head,hat,prior,MC,block0,0.94,3,,MC
C,8.172466666666667,15,5263,Emily never has any money,emily,prior,hear,block0,0.03,3,low_prior,hear
C,8.172466666666667,16,10216,Tony really likes to party with his friends,tony,prior,know,block0,0.9,3,high_prior,know
MC,8.172466666666667,17,13328,Muffins are sold at the bakery,muffins,prior,MC,block0,0.88,3,,MC
C,8.172466666666667,18,3832,Jackson is obese,jackson,prior,be_annoyed,block0,0.04,3,low_prior,be_annoyed
C,8.172466666666667,19,4327,Josh is a 75-year old man,josh,prior,confess,block0,0.07,3,low_prior,confess
C,8.172466666666667,20,5816,Jon lives 10 miles away from work,jon,prior,confirm,block0,0.01,3,low_prior,confirm
C,8.172466666666667,21,6327,Olivia works the third shift,olivia,prior,establish,block0,0.9,3,high_prior,establish
C,8.172466666666667,22,4736,Danny loves cake,danny,prior,announce,block0,0.93,3,high_prior,announce
MC,8.172466666666667,23,18600,Garages are used to store cars and other things,garage,prior,MC,block0,0.03,3,,MC
C,8.172466666666667,24,8830,Isabella is a vegetarian,isabella,prior,inform,block0,0.05,3,low_prior,inform
C,8.172466666666667,25,6919,Julian is German,julian,prior,say,block0,0.7,3,low_prior,say
C,8.172466666666667,26,14832,Mary is taking a prenatal yoga class,mary,prior,see,block0,0.92,3,high_prior,see
C,8.172466666666667,27,17919,Owen lives in Chicago,owen,prior,discover,block0,0.07,3,high_prior,discover
MC,8.172466666666667,28,7832,Pizza is sold at the pizzeria,pizza,prior,MC,block0,0.75,3,,MC
MC,8.172466666666667,29,5152,Ballet is a type of dance,ballet,prior,MC,block0,0.94,3,,MC
C,8.172466666666667,30,6495,Josie doesn't have a passport,josie,prior,suggest,block0,0.03,3,low_prior,suggest
MC,8.172466666666667,32,7597,Garages are used to store cars and other things,garage,projective,MC,block1,0.04,3,,MC
C,8.172466666666667,33,6543,Emma is in law school,emma,projective,acknowledge,block1,0.87,3,high_prior,acknowledge
C,8.172466666666667,34,8664,Frank has always wanted a pet,frank,projective,pretend,block1,0.88,3,high_prior,pretend
C,8.172466666666667,35,22544,Zoe is a math major,zoe,projective,reveal,block1,0.97,3,high_prior,reveal
C,8.172466666666667,36,3895,Isabella is a vegetarian,isabella,projective,inform,block1,0.03,3,low_prior,inform
