screenW,OS,Browser,workerid,screenH
1366,Windows,Chrome,87,768
1366,Windows,Chrome,88,768
1366,Windows,Chrome,89,768
1536,Windows,Chrome,90,864
1280,Mac,Chrome,91,800
1600,Windows,Chrome,92,900
1366,Windows,Chrome,93,768
1600,Windows,Chrome,94,900
1440,Windows,Chrome,95,900
1366,Windows,Chrome,96,768
1600,Windows,Chrome,97,900
1920,Windows,Chrome,98,1080
1280,Windows,Chrome,99,720
1920,Windows,Firefox,100,1080
1280,Windows,Chrome,101,1024
1366,Windows,Chrome,102,768
1280,Mac,Chrome,103,800
1440,Windows,Chrome,104,900
1920,Windows,Chrome,105,1080
1536,Windows,Chrome,106,864
1920,Windows,Chrome,107,1080
1366,Windows,Chrome,108,768
1366,Windows,Chrome,109,768
1366,Windows,Chrome,110,768
1366,Windows,Chrome,111,768
1920,Windows,Chrome,112,1200
1366,Linux,Chrome,113,768
768,Mac,Safari,114,1024
1280,Mac,Chrome,115,800
1366,Windows,Chrome,116,768
1187,Linux,Chrome,117,667
1536,Windows,Chrome,118,864
1440,Mac,Chrome,119,900
1366,Windows,Chrome,120,768
1366,Windows,Chrome,121,768
1280,Windows,Chrome,122,720
1241,Linux,Chrome,123,698
1368,Windows,Chrome,124,912
1280,Windows,Chrome,125,720
1920,Windows,Firefox,126,1080
1750,Windows,Chrome,127,900
1024,Mac,Safari,128,1366
1750,Windows,Chrome,129,900
1536,Windows,Chrome,130,864
1600,Windows,Firefox,131,900
1600,Windows,Chrome,132,900
1536,Windows,Chrome,133,864
1366,Windows,Chrome,134,768
1536,Windows,Chrome,135,864
1536,Windows,Chrome,136,864
1366,Windows,Chrome,137,768
768,an unknown OS,Safari,138,1024
1280,Windows,Chrome,139,720
1920,Windows,Firefox,140,1080
1366,Windows,Chrome,141,768
1366,Windows,Chrome,142,768
1366,Windows,Chrome,143,768
1680,Mac,Chrome,144,1050
1920,Windows,Chrome,145,1080
1920,Windows,Chrome,146,1080
1536,Windows,Chrome,147,864
1364,Windows,Chrome,148,768
1364,Windows,Chrome,149,768
1366,Windows,Chrome,150,768
412,Linux,Chrome,151,732
1920,Windows,Chrome,152,1080
1366,Linux,Chrome,153,768
1366,Windows,Chrome,154,768
412,Linux,Chrome,155,915
1366,Linux,Chrome,156,768
1600,Windows,Firefox,157,900
1920,Windows,Chrome,158,1080
1366,Windows,Chrome,159,768
1366,Windows,Chrome,160,768
1366,Windows,Chrome,161,768
1360,Windows,Chrome,162,768
1920,Windows,Chrome,163,1080
1920,Windows,Chrome,164,1080
1600,Windows,Firefox,165,900
2400,Windows,Firefox,166,1350
1440,Windows,Chrome,167,960
1280,Windows,Chrome,168,768
1536,Windows,Chrome,169,864
1920,Windows,Chrome,170,1080
1536,Windows,Chrome,171,864
1440,Mac,Chrome,172,900
1536,Windows,Chrome,173,864
1280,Windows,Chrome,174,800
1920,Windows,Chrome,175,1080
1366,Windows,Chrome,176,768
1366,Windows,Firefox,177,768
1366,Windows,Chrome,178,768
1536,Windows,Chrome,179,864
1280,Windows,Chrome,180,720
1920,Windows,Chrome,181,1080
1368,Windows,Chrome,182,912
2560,Mac,Chrome,183,1440
1920,Linux,Chrome,184,1200
1920,Windows,Chrome,185,1080
2560,Windows,Chrome,186,1440
1366,Windows,Chrome,187,768
1366,Windows,Chrome,188,768
1600,Windows,Chrome,189,900
1280,Windows,Chrome,190,720
1366,Windows,Chrome,191,768
1536,Windows,Chrome,192,864
1366,Windows,Chrome,193,768
1280,Windows,Chrome,194,720
1366,Windows,Chrome,195,768
1600,Windows,Firefox,196,900
1366,Windows,Chrome,197,768
1680,Linux,Chrome,198,1050
1920,Windows,Chrome,199,1080
1920,Windows,Chrome,200,1080
1366,Windows,Chrome,201,768
1600,Windows,Chrome,202,900
1920,Windows,Chrome,203,1080
1280,Windows,Chrome,204,1024
1920,Windows,Chrome,205,1080
1920,Windows,Chrome,206,1080
1366,Linux,Chrome,207,768
1600,Windows,Firefox,208,900
1536,Windows,Chrome,209,864
1366,Windows,Chrome,210,768
1280,Windows,Firefox,211,1024
1440,Windows,Chrome,212,900
1366,Windows,Chrome,213,768
1366,Windows,Chrome,214,768
1366,Windows,Chrome,215,768
1364,Windows,Chrome,216,768
810,Mac,Safari,217,1080
1366,Windows,Chrome,218,768
1280,Windows,Chrome,219,720
1440,Windows,Chrome,220,900
1366,Windows,Chrome,221,768
393,Linux,Chrome,222,822
1366,Windows,Chrome,223,768
1536,Windows,Chrome,224,864
1366,Windows,Chrome,225,768
1366,Windows,Chrome,226,768
1366,Windows,Chrome,227,768
1366,Windows,Chrome,228,768
1366,Windows,Chrome,229,768
1366,Linux,Firefox,230,768
1920,Windows,Chrome,231,1080
1920,Windows,Chrome,232,1080
1280,Mac,Firefox,233,800
412,Linux,Chrome,234,823
1300,Linux,Chrome,235,731
1920,Windows,Chrome,236,1080
1366,Windows,Chrome,237,768
1536,Windows,Firefox,238,960
1745,Windows,Chrome,239,982
1366,Windows,Chrome,240,768
1920,Mac,Chrome,241,1080
1366,Windows,Chrome,242,768
1280,Windows,Chrome,243,720
1600,Windows,Chrome,244,900
1366,Windows,Chrome,245,768
1200,Linux,Chrome,246,800
3840,Windows,Chrome,247,1200
1366,Windows,Chrome,248,768
1280,Windows,Chrome,249,800
1696,Windows,Firefox,250,954
1920,Windows,Chrome,251,1080
1600,Windows,Firefox,252,900
2144,Windows,Firefox,253,1206
1600,Windows,Chrome,254,900
1536,Windows,Chrome,255,864
1366,Windows,Chrome,256,768
1536,Windows,Chrome,257,864
1680,Mac,Chrome,258,1050
1366,Windows,Chrome,259,768
1366,Windows,Chrome,260,768
412,Linux,Chrome,261,732
360,Linux,Chrome,262,640
1366,Windows,Chrome,263,768
834,Mac,Safari,264,1112
1088,Windows,Firefox,265,612
1440,Windows,Firefox,266,900
2560,Mac,Chrome,267,1440
1536,Windows,Chrome,268,864
1364,Windows,Chrome,269,768
1364,Windows,Chrome,270,768
2560,Windows,Chrome,271,1440
1366,Windows,Chrome,272,768
1366,Windows,Chrome,273,768
1920,Windows,Chrome,274,1080
1366,Linux,Firefox,275,768
1366,Windows,Chrome,276,768
1280,Windows,Chrome,277,720
1600,Windows,Chrome,278,900
1536,Windows,Chrome,279,864
1024,Windows,Chrome,280,820
1280,Windows,Chrome,281,1024
1366,Windows,Chrome,282,768
1366,Windows,Chrome,283,768
1366,Windows,Chrome,284,768
1920,Windows,Chrome,285,1080
1472,Windows,Firefox,286,828
1920,Windows,Firefox,287,1080
2144,Windows,Firefox,288,1206
1280,Windows,Chrome,289,720
1600,Windows,Chrome,290,900
1920,Windows,Chrome,291,1080
1920,Windows,Chrome,292,1080
1280,Mac,Chrome,293,800
400,Linux,Chrome,294,867
1366,Windows,Chrome,295,768
1364,Windows,Chrome,296,768
1366,Windows,Chrome,297,768
1366,Windows,Chrome,298,768
1024,Windows,Chrome,299,768
