language,workerid,comments,american,age
English,279,,Yes,53
english,280,"Some of the sentences, like the last one, ""Did Walt admit that Frank got a cat?"" I could definitely hear both ways, that he knew, and also that he didn't know, just depending on other context we don't know. So some of them were quite tricky! Thanks, that was interesting. ",Yes,55
ENGLISH,281,REALLY ENJOYED THIS SESSION ,Yes,26
English,282,Interesting and well worded.,Yes,42
English,283,,Yes,48
English,284,This was interesting.,Yes,56
English,285,,Yes,35
english,286,longer mturk timer please. they really help out!,Yes,23
english,287,,Yes,26
English,288,very good task.,Yes,30
English,289,I like this experiment,Yes,43
English,290,A lot of these were ambiguous,Yes,44
English,291,,Yes,44
English,292,nice,Yes,32
English,293,,Yes,35
English,294,,Yes,50
english,295,,Yes,35
English,296,,Yes,25
English,297,,Yes,32
English,298,Very interesting and fun survey.,Yes,38
english,299,thought it was really good pay for a survey,Yes,38
English,300,,Yes,25
English,301,,Yes,21
english,302,some in the third set of questions were very ambiguous.,Yes,73
English,303,Fun! Would love to do more of these. Fair payment and really unique HIT. Thankyou!,Yes,29
English,304,None,Yes,40
English,305,,Yes,27
English,306,All good,Yes,39
English,307,Enjoyable survey,Yes,54
English,308,,Yes,57
English,309,,Yes,58
English,310,None.,Yes,37
english,311,nope,Yes,30
English,312,None,Yes,59
English,313,,Yes,24
English,314,,Yes,28
englsih,315,nice,Yes,27
English,316,,Yes,26
English,317,Thank you,Yes,72
English ,318,,Yes,40
English,319,,Yes,29
English,320,Very interesting!,Yes,34
English,321,nice survey to work and i really enjoyed it.,Yes,29
English,322,,Yes,28
English ,323,,Yes,24
English,324,The last part was kind of confusing ,Yes,25
English,325,Everything worked well. Good pay and somewhat enjoyable. I like language-based surveys like this.,Yes,29
english,326,,Yes,42
Chinese,327,,,45
English,328,,Yes,54
English,329,This was a fun and interesting survey.,Yes,30
english,330,good,Yes,27
english,331,,Yes,35
English,332,,Yes,57
Arabic,333,"Sometimes I wasn't as certain as I thought I was, after reading the question a couple of times.",,48
English,334,,Yes,50
English,335,none,Yes,46
English,336,,Yes,27
English,337,Nothing comes to mind.,Yes,47
English,338,It was interesting how some questions were much more clear than others. Many depended on the context.,Yes,55
English,339,,Yes,33
English,340,,Yes,39
English,341,,Yes,39
english,342,,Yes,50
english,343,,Yes,55
English,344,,Yes,24
English,345,,Yes,59
English,346,,Yes,25
English,347,It was interesting and not as easy as it first appeared to be.,Yes,69
English,348,very interesting,Yes,34
english,349,very confusing the way the statements and questions were worded. Some examples of correct responses would have been helpful. It seemed the way the questions were worded most of them could be interpreted in both ways,Yes,31
English,350,,Yes,52
English,351,"I found these questions very interesting to think about in detail and respond to, some of them I  could imagine thinking about in more than one way.",Yes,25
English,352,,Yes,57
english,353,Very interesting take on the linguistic ability of words and the inference they posses.,Yes,30
english,354,good,Yes,30
English,355,Its Very Interesting Study. Thank you,Yes,30
English,356,,Yes,28
English,357,"none, thanks!!!",Yes,36
English,358,,Yes,39
English,359,Interesting Study,Yes,28
English,360,Thanks for paying fair!,Yes,30
English,361,,Yes,29
English,362,Too ambiguous.,Yes,64
English,363,,Yes,54
English,364,Good,Yes,30
english,365,good,Yes,28
English,366,Great survey,Yes,59
English,367,I do feel that many of the decisions are based on the other words in the sentence structure and the person's thought or belief in the meaning of the structure of the sentence.,Yes,42
english,368,good one,Yes,28
ENGLISH,369,NICE,Yes,29
English,370,,Yes,31
English,371,,Yes,37
English,372,,Yes,26
English,373,Good and interesting,Yes,25
English,374,none,Yes,58
English,375,none,Yes,59
English,376,,Yes,29
English,377,"It was a interesting study which I found could be answered differently almost every time lol.  I did want to say that on the third part I did answer one on the yes side because it just seemed correct to do so but after I felt I may have wanted it to be on the ""No"" side.  Thank you!",Yes,59
english,378,good,Yes,35
English,379,,Yes,31
English,380,,Yes,54
English ,381,,Yes,51
English,382,,Yes,34
english,383,,Yes,36
English,384,Everything was clear so far.,Yes,32
English,385,,Yes,35
English ,386,Thank you for the opportunity to do this hit.,Yes,30
English,387,Some of these were interesing! I feel like a lot of the questions were asking if someone asked vs if someone was actually doing something. Fun study! Thank you!,Yes,31
English,388,Some questions were odd but interesting.,Yes,20
English,389,,Yes,35
English ,390,The survey wonderful ,Yes,22
english,391,no,Yes,32
English,392,The answers sometimes seemed obvious and other times not so certain. Interesting study.,Yes,54
English,393,,Yes,68
English,394,None,Yes,30
eng,395,,Yes,41
English ,396,,Yes,47
English,397,,Yes,34
English,398,,Yes,58
english,399,this was harder than i thought it would be because most are implied rather than a clear yes/no,Yes,39
English,400,,Yes,32
English,401,,Yes,38
English,402,"That was super confusing and hard to read in some areas. I have no idea what the control questions even were. Please don't reject me I did my best. It was just kind of difficult, even though i'm a native speaker lol.",Yes,34
english,403,"this experiment was fun and very interesting, thanks.",Yes,60
English,404,,Yes,40
English,405,,Yes,25
English,406,,Yes,32
english,407,,Yes,29
English,408,This was definitely one of the more interesting experiments I've done on MTurk.  It really made me reflect more on some of the nuances of the English language.,Yes,38
Emglish,409,none,Yes,34
english,410,Great survey thanks.,Yes,32
English,411,"Thank you for the opportunity.
It was an interesting task to complete.
Have a nice day.

Regards",Yes,42
ENGLISH,412,VERY NICE,Yes,27
English,413,No comment,Yes,61
English,414,really interesting relationship questions ,Yes,29
English,415,Good,Yes,25
engl;ish,416,,Yes,38
english,417,,Yes,28
english,418,thank you,Yes,34
English,419,no comments,Yes,46
English,420,No,Yes,40
english,421,great,No,27
English,422,Good,Yes,30
English,423,,Yes,29
English,424,,Yes,27
English,425,,Yes,44
English,426,,Yes,41
English,427,none,Yes,37
English,428,Its taking good.,Yes,29
,429,,,
english,430,,Yes,41
english,431,,Yes,37
English,432,,Yes,49
English,433,"This was very unique and interesting, I was thinking how people discuss things and ask questions to get information or find things out in conversations. Thank you.",Yes,56
English,434,,No,50
English,435,thanks,Yes,30
English,436,,Yes,44
English,437,,Yes,30
English,438,attractive one,Yes,29
English,439,None,Yes,38
English,440,,Yes,39
,441,,Yes,36
english,442,,Yes,45
English,443,Very interesting perspectives!,Yes,50
English,444,none,Yes,30
English,445,"None, Thank You.",Yes,65
English ,446,,Yes,29
English,447,,Yes,30
English,448,,Yes,25
English,449,,Yes,22
English,450,,Yes,27
English,451,no,Yes,23
English,452,,Yes,27
English,453,N/A,Yes,26
english,454,,Yes,25
english,455,was fun and interesting,Yes,53
english,456,Some VERY confusing questions in this,Yes,40
English,457,nice,Yes,35
English,458,This was interesting!,Yes,37
English.,459,,Yes,28
ENGLISH,460,NICE,Yes,27
English,461,no comment,Yes,39
English,462,Nothing comes to mind. Thank you.,Yes,39
English,463,no comments,Yes,58
English,464,None,Yes,63
English,465,,Yes,43
Spanish,466,,No,29
English,467,none,Yes,55
english,468,,Yes,30
English,469,no comments,Yes,39
English,470,No comments,Yes,44
English ,471,,Yes,54
english,472,,Yes,43
English,473,None,Yes,38
English,474,,Yes,32
English,475,It was kinda hard,Yes,41
English ,476,Interesting ,Yes,43
English,477,"I think, depending on the context, that these questions could be interpreted in different ways. ",Yes,35
english,478,no comments. ,Yes,31
English,479,It was good,Yes,32
English,480,Good and knowledgeable study.,Yes,29
"English, Swedish",481,,Yes,28
English,482,"Usually, in the way a phrase is formed, it can be a good indication of whether a third party thinks that a present or past situation is true or not. ",Yes,41
english,483,,Yes,40
English,484,"No additional comments, thanks.",Yes,33
English,485,No comments or feedback,Yes,29
English,486,Thank you.,Yes,46
English,487,Would love to know what the hypothesis with your research is and what you found. Bonuses are also appreciated for serious respondents. Thanks and good luck with your study.,Yes,43
English,488,"No comments, thank you.",Yes,24
English,489,,Yes,48
English,490,I am very interested to did this study thank you for gave me a opportunity as part of this study.once again thank you so much.,Yes,35
English,491,all good!,Yes,58
English,492,,Yes,66
American English,493,Thank you!,Yes,31
English,494,,Yes,39
english,495,,Yes,51
English,496,THANK YOU,Yes,60
English ,497,,Yes,34
English,498,,Yes,34
english,499,,Yes,42
english,500,,Yes,34
English,501,"Interesting study please make more! Maybe surrounding social media and how we interpret things (triggers, etc).",Yes,33
English,502,,Yes,37
english,503,thanks,Yes,29
English,504,Interesting study. Some of the wording can be a little tricky. ,Yes,26
ENGLISH,505,ITS VERY INTERESTING ,Yes,51
English ,506,No comments.,Yes,69
English,507,,Yes,30
English,508,fun thanks,Yes,34
english,509,na,Yes,58
English,510,,Yes,31
English,511,None,Yes,32
english,512,nice,Yes,38
english,513,Good,Yes,25
English,514,,Yes,30
Italian,515,"Thank you very much for this HIT, and best of luck with your research",Yes,40
ENGLISH,516,VERY NICE,Yes,28
English,517,none,Yes,37
English,518,"If you had changed ""that"" to ""whether,"" then in  many cases the truth-functionality would flip.",Yes,43
English,519,None,Yes,32
English,520,"Interesting survey for good pay. Different than most (I hate answering the same questions over and over in different surveys, so this was a breath of fresh air!) Thanks.",Yes,48
English,521,"Engaging task, thank you. ",Yes,41
English,522,Nice study,Yes,30
English,523,I had no issues with this experiment.,Yes,48
English,524,very interesting this survey,Yes,35
English,525,,Yes,38
English,526,good,Yes,25
English,527,Enjoyable!,Yes,67
english,528,thank you,Yes,53
English,529,,Yes,50
English,530,,Yes,64
English,531,,Yes,28
english,532,none,Yes,36
english,533,N/A,Yes,61
english,534,"some of these were hard to answer, but still fun to work on!",Yes,51
English,535,,Yes,36
English,536,I really liked the experiment because to see my own perceptions of the questions being asked in the beginning to the end really blew my mind.,Yes,38
english,537,none,Yes,45
English,538,,Yes,38
English,539,,Yes,46
English,540,,Yes,34
english,541,Thanks.,Yes,33
English,542,thanks,Yes,42
English,543,none,Yes,50
English,544,,Yes,37
English,545,,Yes,32
English ,546,"Some questions were a bit tricky, do it made you really think. ",Yes,36
English,547,None. Thank you. ,Yes,30
English,548,This was a unique and fun study.,Yes,38
english,549,,Yes,36
English,550,,Yes,29
English,551,,Yes,33
English,552,,Yes,56
English,553,,Yes,33
english,554,,Yes,36
English,555,,Yes,31
English ,556,,Yes,35
English,557,Thank you for the opportunity!,Yes,34
english,558,,Yes,30
English,559,,Yes,41
English,560,Interesting. ,Yes,65
ENGLISH,561,good,Yes,27
English,562,,Yes,35
English,563,,Yes,28
English,564,Good,Yes,30
English,565,,Yes,48
English,566,n/a,Yes,34
englisj,567,,,23
English,568,The experiment worked great and instructions were clear. Thank you!,Yes,51
ENGLISH,569,I LIKE THIS SURVEY AND IT WAS TO GOOD,Yes,29
English,570,,Yes,45
english,571,thank you,Yes,62
English,572,That was interesting.,Yes,68
English,573,,Yes,42
English,574,,Yes,26
English,575,,Yes,54
English,576,,,38
English ,577,none,Yes,33
English,578,,Yes,56
english,579,fun study. easy instructions. no comments or issues.,Yes,44
English,580,N/A,Yes,40
Turkish,581,,,35
English,582,Good luck for your study!,Yes,45
English,583,,Yes,42
English,584,"Nothing to add, thank you",Yes,27
English,585,,Yes,43
English,586,,Yes,38
English,587,,Yes,33
English,588,Interesting,Yes,25
English,589,None,Yes,40
English,590,,Yes,23
English,591,,Yes,37
English,592,Good luck with your study,Yes,52
English,593,,Yes,33
,594,,,
English,595,Interesting play on words,Yes,38
English,596,,Yes,25
english,597,,Yes,35
English,598,Everything worked and the survey was very straight forward. Thanks!,Yes,29
english,599,thanks,Yes,26
