workerid,american,comments,language,age
119,Yes,"It was interesting, thank you for letting me participate and best of luck with your study!",English,51
120,Yes,,English,32
121,Yes,nice.,english,27
122,Yes,,english,37
123,Yes,,English,27
124,,,khmer,37
125,Yes,,eng,59
126,Yes,This was a fun study to participate in!,English,30
127,Yes,I enjoyed this study.  TYVM,english,54
128,Yes,I found this to be interesting,English,42
129,Yes,,English,26
130,Yes,,english,26
131,Yes,,English,30
132,Yes,I'm doing this study first thing in the morning with my coffee-and this really made me think. I really had to read the question (which you instructed) but sometimes it was hard for me to answer on the scale. This hit was interesting-thanks for letting me participate. I hope I helped in your study.,English,55
133,Yes,,English,27
134,Yes,,English,46
135,Yes,,english,35
136,No,,Hindi,32
137,No,,English,54
138,Yes,thank you for the opportunity to participate in this study,English,52
139,No,good survey. ,"Hindi,Tamil,Telugu,English",45
140,Yes,,English,43
141,Yes,,English,46
142,Yes,,English,21
143,Yes,,English,42
144,Yes,,English,25
145,Yes,This was interesting.,English,35
146,Yes,,English,31
147,Yes,some of these were hard to judge sa they were a bit ambiguous and could have been interpreted different ways. ,English,41
148,Yes,n/a,English,22
149,Yes,,English,32
150,Yes,,English,22
151,Yes,No comment.,English,70
152,Yes,"Very interesting study, thanks",English,25
153,Yes,,English,34
154,Yes,all went well thanks,English,54
155,Yes,,English,44
156,Yes,,english,37
157,Yes,Some of the questions were ambiguous enough one could but not necessarily would infer meaning beyond the literal sense.,English,46
158,Yes,I found some questions/statements a bit confusing or ambiguous - I did try to answer to the best of my ability though.  Thank you for the study!,english,59
159,Yes,,English,56
160,Yes,,English,40
161,Yes,,English,39
162,Yes,none,English,32
163,Yes,,english,34
164,Yes,,English,28
165,Yes,,English,33
166,Yes,,English,41
167,Yes,,english,30
168,Yes,n,English,71
169,Yes,No comments.,English,25
170,Yes,good survey thanks ,english,69
171,Yes,none,English,46
172,Yes,"It was interesting, some of the questions I really had to think about. ",English,34
173,Yes,,English,31
174,Yes,N/A,English,37
175,Yes,no thank you. ,English,32
176,Yes,,English,42
177,No,It was interesting,Tamil,35
178,Yes,GOOD WORK,ENGLISH,30
179,Yes,,English,39
180,Yes,,English,31
181,Yes,,English,29
182,Yes,"The questions could be interpreted several ways at times, so it was confusing based on what one was thinking at the time.",English,49
183,Yes,Good and Interesting,English,29
184,Yes,interesting content.  no issues encountered.,English,27
185,Yes,,English,37
186,Yes,,English,23
187,Yes,,English,20
188,Yes,,English,49
189,Yes,,ENGLISH, 41
190,Yes,,English,19
191,Yes,,ENGLISH,27
192,Yes,,English,28
193,Yes,,English,35
194,Yes,,English,28
195,Yes,interesting task,english,26
196,Yes,,English,26
197,Yes,,English,37
198,Yes,none,English,58
199,Yes,na,english,62
200,Yes,This was a very fun study. It really made me think about the questions!  Thanks and have a great day.  ,English,48
201,Yes,,English,58
202,Yes,,English,49
203,Yes,,English,39
204,Yes,no comments,English,33
205,Yes,Some of the questions would depend on what part of it was emphasized when speaking or what happened surrounding the question.,English,41
206,Yes,Thanks!,English,43
207,Yes,good,English,45
208,Yes,,English,26
209,Yes,,English,47
210,Yes,I have no comments.,English,39
211,Yes,,English,38
212,Yes,none,english,54
213,Yes,Some quite difficult as the question can be asking or suggesting multiple things.,English,48
214,Yes,,English,33
215,Yes,,English,24
216,Yes,nice,english,25
217,Yes,,english,28
218,Yes,,English,40
219,Yes,,english,32
220,Yes,It was enjoyable.  Everything was great.,English,52
221,Yes,,English,53
222,Yes,,English,65
223,,,,
224,Yes,,english,52
225,Yes,,English,27
226,Yes,,English,42
227,Yes,,English,23
228,Yes,,English,43
229,Yes,,english,60
230,Yes,,English,39
231,Yes,,English,66
232,Yes,intonation is important in these phrases....would be interesting if test was on audio file,english,50
233,Yes,,English,38
234,Yes,"None, this was fun.",English,24
235,Yes,Nothing to note,English,36
236,Yes,No comments.,English,42
237,No,"Interesting survey, need to know the score!",Kannada,44
238,Yes,,English,31
239,Yes,,English,60
240,Yes,none,English,51
241,Yes,,English,44
242,Yes,,English,38
243,Yes,none,english,54
244,Yes,,English,28
245,Yes,,"Spanish, English",27
246,Yes,,United States,28
247,Yes,Thank you!,English,20
248,Yes,,english,36
249,Yes,fun survey,English,32
250,Yes,,english,55
251,Yes,,English,29
252,Yes,Was pretty easy but worded a bit strange at times. ,English,35
253,Yes,It was interesting and engaging.,English,45
254,Yes,,English,32
255,Yes,,United States,29
256,Yes,no comment,English,26
257,No,,english,40
258,Yes,,English,33
259,Yes,,English,25
260,Yes,"I was born and raised in the United States and I have a college degree with 4 English courses and I have lived here my entire life and some of these questions sound extremely unnatural. Most people do not use the word ""establish"" etc when asking simple questions so this was a little harder than expected. I assume that is part of the experiment? ",English,45
261,Yes,,english,38
262,Yes,Interesting study,English,35
263,,,English,36
264,Yes,was fun to do this one. ,english,34
265,Yes,,english,26
266,Yes,,English,44
267,Yes,"Very interesting survey, good pay for the time it takes to complete",English,27
268,Yes,,English,26
269,Yes,I found myself questioning on how subtle the questions being asked were; whether or not the question was at face value or just asked to information on the person being talked about.,English,32
270,Yes,,English,29
271,Yes,,English,33
272,Yes,I loved the challenging questions.,english,46
273,Yes,,English,42
274,Yes,"Easy to comprehend and answer.  No errors were encountered.  My answers may be a bit skewed, I have to admit that I had just woken up.  Sorry.  Anyway, thanks for the work and I hope that you have a Great Day!",English,52
275,Yes,,English,43
276,Yes,No,English,28
277,Yes,,English,34
278,Yes,thank you it was an interesting experiement,english,29
279,Yes,,english,33
280,Yes,Thanks!,English,38
281,Yes,,English,43
282,Yes,,English,32
283,Yes,"It's clever that you ask about if the speaker is certain if they know information, since sometimes it depends on what word is being emphasized, which we can't know for certain through text.",english,28
284,Yes,,English,66
285,Yes,,English,27
286,Yes,Fun survey,English,37
287,Yes,,English,29
288,Yes,No comments.,English,24
289,Yes,Interesting,english,54
290,Yes,,english,29
291,Yes,I appreciated the opportunity to participate in your survey; it was thought-provoking and interesting!!,english,57
292,Yes,,English,32
293,Yes,no comments,english,33
294,Yes,None,English,29
295,Yes,,english,33
296,Yes,,English,43
297,Yes,,English,36
298,Yes,,English,26
299,Yes,thank you,english,32
300,Yes,"This was really interesting, it's amazing how one fact can change the whole context of a phrase or question. It's no wonder people struggle to learn English as a second language. Makes me respect them a lot more!",English,40
301,Yes,none,English,28
302,Yes,,English,35
303,Yes,,English,28
304,Yes,,English,49
305,Yes,Answering the second part made me think some of my answers in the first part were wrong. Interesting survey ,English,46
306,Yes,good,English,48
307,Yes,Thank you!,English,45
308,Yes,,English,32
309,Yes,"None, thank you.",English,42
310,Yes,,English,26
311,Yes,They are kind of interesting,English,50
312,Yes,Thank you for the opportunity!,English,73
313,Yes,None,Polish,43
314,Yes,Interesting experiment. Thanks! :),English,24
315,Yes,,English,34
316,Yes,,English,33
317,Yes,,englsih,32
318,Yes,,ENGLISH,40
319,Yes,,English,31
320,Yes,,English,
321,Yes,,English ,37
322,Yes,,English,28
323,Yes,,English,33
324,Yes,FUN!,English,36
325,Yes,,english,39
326,Yes,,English,61
327,Yes,,english,41
328,Yes,,English,58
329,Yes,,English,42
330,Yes,,English Russian,35
331,Yes,The experiment was great because it really made me think about the intent of the question. Thank you.,English,41
332,Yes,,English,23
333,Yes,I found this study very pleasant since it is understood and it is about the different languages I liked much more about the study,English,30
334,Yes,none,English,37
335,Yes,,English,51
336,Yes,VERY NICE.,ENGLISH,25
337,Yes,,English,42
338,Yes,,English,25
339,Yes,"Very interesting. I tried my best, thank you.",English,48
340,Yes,n,English,36
341,Yes,I enjoyed the experiment. The instructions were clear. Thank you for the opportunity to participate.,English,45
342,Yes,,english,20
343,Yes,fun survey,english,23
344,Yes,,English,55
345,Yes,Great study,English,30
346,Yes,,English,29
347,Yes,,English,46
348,Yes,,english,31
349,Yes,none,English,36
350,Yes,,English,28
351,Yes,,english,30
352,Yes,,English ,26
353,Yes,No comments,English,33
354,Yes,This was interesting. Thanks!,English,45
355,Yes,none,english,62
356,Yes,,English,25
357,Yes,,English,32
358,Yes,,english,55
359,Yes,N/A,English,48
360,Yes,i like this study,english,25
361,Yes,,English,31
362,Yes,,English,62
363,Yes,,English,50
364,Yes,,English,33
365,Yes,"a bit tricky, think i got them all right",english,31
366,Yes,,English,25
367,Yes,,English,31
368,Yes,,English,27
369,Yes,no,english,34
370,Yes,,english,35
371,Yes,,English,35
372,Yes,,English,40
373,Yes,,english,38
374,Yes,"interesting study, thanks for including me!",English,31
375,Yes,,English,53
376,Yes,Thanks!,english,23
377,Yes,,english,32
378,Yes,none,English,33
379,Yes,,English,30
380,Yes,,English,43
381,Yes,,English,24
382,Yes,,English,32
383,Yes,,english,26
384,Yes,"No issues, was enjoyable and fair pay. I like the progress bar being there as well.",english,32
385,Yes,Thanks. The set up of the survey was good and easy to use. ,English,43
386,Yes,,English,34
387,Yes,,English,37
388,No,,english,34
389,Yes,good,english,27
390,Yes,,English,29
391,Yes,,English,34
392,Yes,,English,30
393,Yes,,english,21
394,Yes,n/a,English,46
395,Yes,Good,English,27
396,Yes,,English,32
397,Yes,,English,35
398,Yes,none,english,47
399,Yes,,English,28
400,Yes,,English,65
401,Yes,,english,40
402,Yes,did my best to be accurate,english,39
403,Yes,,English,21
404,Yes,"No further comments, thanks! ",English,40
405,Yes,clear study,English,27
406,Yes,,English,34
407,Yes,,English,41
408,Yes,,English,57
409,Yes,,english,42
410,Yes,,English,47
411,Yes,,English,44
412,Yes,,English,42
413,Yes,,English,21
414,Yes,No comments,English,32
415,Yes,,English,31
416,Yes,,english,34
417,Yes,differ,English,67
418,Yes,,English,54
419,Yes,,English,32
420,,,,
421,,,Vietnamese,32
422,Yes,,english,29
423,Yes,,English,46
424,Yes,,english,58
425,Yes,,English,40
426,Yes,,English,43
427,Yes,,English,30
428,Yes,,english,42
429,Yes,,English,35
430,Yes,,English,24
431,Yes,none,English,45
432,Yes,,English,19
433,Yes,This is tricky without context! Fun study.,English,41
434,Yes,,,37
435,Yes,,English,37
436,Yes,,English,30
437,Yes,"This was enjoyable, thank you!",English,35
438,Yes,,English,33
439,Yes,,English,32
440,Yes,,English,41
441,Yes,this was a fun survey!,English,32
442,Yes,,English,30
443,Yes,,English,70
444,Yes,,English ,32
445,Yes,NA,English,42
446,Yes,,English,32
447,Yes,,english,31
448,Yes,none,English,37
449,Yes,Some of the questions depend on interpretation. ,English,24
450,Yes,,english,31
451,Yes,N/A,English,38
452,Yes,,English,25
453,Yes,"There is none for now. If any comes to mind, I would send you an email.",ENGLISH,26
454,Yes,NICE STUDY,ENGLISH,28
455,No,No comment,Vietnamese,25
456,No,None. Thank you!,Arabic & English,32
457,Yes,I have a background in hermeneutics and yet I am sure that I interpreted many of these wrongly.  ,English,48
458,Yes,None,English,36
459,Yes,,English,30
460,Yes,,English,61
461,Yes,,English,30
462,Yes,Fun survey!,English,34
463,Yes,,English,35
464,Yes,"Thank you very much for this HIT, and best of luck with your research",Italian,40
465,Yes,Very Nice Survey. ,English,35
466,Yes,,English,38
467,Yes,"Had a little difficulty in understand some of the questions, but I answered to the best of my ability.",English,51
468,Yes,,English,30
469,Yes,,English,29
470,Yes,,English,41
471,Yes,,English,27
472,Yes,None,English,43
473,Yes,This hit has seemingly ambiguous interpretation of questions.,English,30
474,Yes,,english,30
475,Yes,,English,54
476,Yes,,English,23
477,Yes,no problems,English,45
478,Yes,,English,42
479,Yes,"No issues or technical problems, Thank you.",English,51
480,Yes,,English,39
481,Yes,,English,34
482,Yes,NICE STUDY,ENGLISH,29
483,Yes,"interesting, but some of them were confusing",English,59
484,Yes,,English,25
485,Yes,,english,27
486,Yes,,English,25
487,Yes,Good,English,27
488,,,Bulgarian,30
489,Yes,,English,30
490,Yes,no comments,English,70
491,Yes,Some of them can be taken different ways.,english,35
492,Yes,,English,28
493,Yes,Thanks,English,28
494,Yes,,English,62
495,Yes,"At first I was reading the sentences in a way that I was answering 100% yes or no for the first set of questions because the tone in my head sounded certain.  One of the questions flipped the way I was reading what was being implied and it added uncertainty to how I was answering.  There is a point where you will see that I go from all the way yes or no for almost every question, to using the whole scale.  I can't really describe what happened but I found myself reading the sentences differently at that point.",English,33
496,,,English,55
497,Yes,,english,41
498,Yes,This was a very interesting HIT.,English,63
499,Yes,Tone of voice could change some of the answers I think.,English,39
500,Yes,,ENGLISH,47
501,Yes,"I thought double negative questions were bad.  WoW.

I always hated how one word can mean 6 different things, depending on context.  

It was an interesting survey.  Best of luck with the findings.
",English,45
502,Yes,"I enjoyed this study, a few questions could vary on personality traits, but a lot to do with communication skills and common sense. ",English,26
503,Yes,,english,33
504,Yes,,english,40
505,Yes,,english,56
506,Yes,,English ,54
507,Yes,,Englilsh,40
508,Yes,,English,36
509,Yes,,english,43
510,Yes,This was great! Have a wonderful week!,English,36
511,Yes,,english,37
512,Yes,"Some of these queries were pretty slippery and subtle. Thank you, I enjoyed this.",English,48
513,Yes,,english,24
514,Yes,N/A,English,44
515,Yes,,English,41
516,Yes,Thank you for fair pay.,English,38
517,Yes,,English,56
518,Yes,,english,48
519,Yes,very fun actually!,english,25
520,Yes,It was an interesting study.,English,38
521,Yes,none,English,39
522,Yes,NICE,ENGLISH,27
523,Yes,NO COMMENTS,ENGLISH,25
524,Yes,,English,58
525,Yes,,english,47
526,Yes,,English,35
527,Yes,,English,24
528,Yes,,english,34
529,Yes,,English,29
530,Yes,,english,27
531,Yes,"These are tricky statements since often the focus of the statement is ""knowledge"" of another thing, not necessarily that the other thing happened.",English,32
532,Yes,none,english,29
533,Yes,,English,52
534,Yes,,English,36
535,Yes,,English,57
536,Yes,nothing,English,31
537,Yes,Thank you - some of those questions were hard.,English,53
538,Yes,this surevy very interested.,English,63
539,Yes,,English,22
540,Yes,,English,28
541,Yes,This was interesting and took me a little bit of time to understand,English,35
542,Yes,I enjoyed this study and had no issues.  Thank you for the opportunity!,English,38
543,Yes,,English,31
544,Yes,,enlgish,27
545,Yes,,English,34
546,,,,
547,No,,English,23
548,Yes,it was an educative study,english,31
549,Yes,"God bless and good luck! You gonna have a great career and live your dreams.
",english,29
550,Yes,none,English,37
551,Yes,none,English,33
552,Yes,,English,49
553,Yes,n/a,English,33
554,Yes,Bonuses are always appreciated! ,English,28
555,Yes,,english,21
556,Yes,A lot of the questions were asking indirect questions about what people though or knew about others. ,English,45
557,Yes,none,English,55
558,Yes,It was a nice experience and i liked this questions,English,27
559,Yes,,english,37
560,Yes,,English,60
561,Yes,none,english,36
562,Yes,,English,27
563,Yes,,English,61
564,Yes,,English,33
565,Yes,,Telugu,37
566,Yes,,English,36
567,Yes,none,english,33
568,Yes,,English,21
569,Yes,,English,25
570,Yes,Thank you!,English,35
571,Yes,entertaining,English,55
572,Yes,"Very interesting study, thanks.",English,50
573,Yes,,English,22
574,Yes,,english,35
575,Yes,,english,27
576,Yes,,English,32
577,Yes,,english,33
578,Yes,,English,35
579,Yes,,English,37
580,Yes,Thank you. ,English,36
581,Yes,,english,60
582,Yes,,English,51
583,Yes,i really liked this survey,Spanish,24
584,Yes,,English,26
585,Yes,,English,35
586,Yes,,english ,31
587,Yes,,English,44
588,Yes,,English,29
589,Yes,,english,49
590,Yes,This was a bit confusing to me because so many of the first questions seemed to be yes from my understanding. The 2nd batch was more understandable for me. The instructions were confusing to me i had to read them about 4 times just to make sure i understood what you wanted. i hope i did a good job. if there is any issues let me know.,English,34
591,Yes,,ENGLISH,36
592,Yes,,English,33
593,Yes,,english,43
594,Yes,,English ,44
595,Yes,,English,26
596,Yes,,English,25
597,Yes,,English,52
598,Yes,,English,45
599,Yes,,English,49
