workerid,OS,screenW,screenH,Browser
168,Windows,1366,768,Chrome
169,Linux,1366,768,Chrome
170,Windows,1366,768,Chrome
171,Windows,1366,768,Chrome
172,Windows,1920,1080,Chrome
173,Windows,1536,864,Firefox
174,Windows,1366,768,Chrome
175,Windows,1366,768,Chrome
176,Windows,1920,1080,Chrome
177,Windows,1366,768,Chrome
178,Windows,1536,864,Chrome
179,Windows,1600,900,Chrome
180,Linux,412,869,Chrome
181,Windows,1536,864,Firefox
182,Windows,1366,768,Chrome
183,Windows,1920,1080,Chrome
184,Linux,1600,900,Chrome
185,an unknown OS,1024,1366,Safari
186,Mac,1440,900,Chrome
187,Windows,1536,864,Firefox
188,Windows,1280,1024,Chrome
189,Windows,1600,900,Firefox
190,Windows,1920,1080,Chrome
191,Windows,1920,1080,Chrome
192,Windows,1600,900,Chrome
193,Windows,1536,864,Chrome
194,Windows,1920,1080,Chrome
195,Linux,601,962,Chrome
196,Windows,1366,768,Chrome
197,Windows,1536,864,Firefox
198,an unknown OS,768,1024,Safari
199,Windows,2560,1440,Chrome
200,Mac,1280,800,Chrome
201,Windows,1920,1080,Chrome
202,an unknown OS,768,1024,Safari
203,Windows,1280,720,Chrome
204,Windows,1366,768,Chrome
205,Windows,1366,768,Chrome
206,Windows,2304,1296,Firefox
207,Windows,1920,1080,Chrome
208,Windows,1280,768,Chrome
209,Windows,1366,768,Chrome
210,Windows,1280,720,Chrome
211,Mac,1621,1013,Firefox
212,Windows,1366,768,Chrome
213,Mac,1280,800,Chrome
214,Windows,1364,768,Chrome
215,Mac,1280,800,Safari
216,Windows,1920,1080,Chrome
217,Windows,1280,720,Chrome
218,Windows,1366,768,Chrome
219,Windows,1920,1080,Chrome
220,Linux,1517,853,Chrome
221,Mac,1440,900,Firefox
222,Windows,1680,1050,Chrome
223,Windows,1366,768,Chrome
224,Linux,1241,698,Chrome
225,Windows,1366,768,Firefox
226,Windows,1366,768,Chrome
227,Windows,1366,768,Chrome
228,an unknown OS,768,1024,Safari
229,Windows,1366,768,Chrome
230,Windows,1366,768,Chrome
231,Windows,1600,900,Chrome
232,Windows,1366,768,Chrome
233,Windows,1280,800,Chrome
234,Windows,1366,768,Chrome
235,Windows,1366,768,Chrome
236,Mac,1440,900,Chrome
237,Mac,1440,900,Chrome
238,Windows,1920,1080,Firefox
239,Windows,1366,768,Chrome
240,Windows,1440,900,Chrome
241,Windows,1366,768,Chrome
242,Windows,1536,864,Chrome
243,Windows,2400,1350,Firefox
244,Linux,1300,731,Chrome
245,Windows,1366,768,Chrome
44,Windows,1280,720,Firefox
246,Windows,1920,1080,Chrome
247,Windows,1366,768,Chrome
248,Windows,1440,900,Chrome
16,Windows,1366,768,Chrome
26,Windows,1366,768,Chrome
249,Windows,1920,1080,Chrome
250,Windows,1920,1080,Chrome
26,Windows,1366,768,Chrome
251,Windows,1280,720,Chrome
252,Windows,1920,1080,Chrome
253,Mac,1280,800,Chrome
254,Windows,1280,1024,Chrome
255,Windows,1188,668,Chrome
256,Linux,412,823,Chrome
257,Linux,1024,576,Chrome
258,Windows,1920,1080,Chrome
259,Windows,1600,900,Chrome
260,Windows,1280,768,Chrome
261,Windows,1366,768,Chrome
262,Windows,1829,1029,Chrome
263,Windows,1024,768,Chrome
264,Windows,1536,864,Chrome
265,Windows,1366,768,Chrome
266,Windows,1366,768,Chrome
267,Windows,1364,768,Chrome
268,Mac,1440,900,Chrome
269,Windows,1920,1080,Chrome
270,Windows,1920,1080,Chrome
271,Windows,1366,768,Chrome
272,Windows,1366,768,Chrome
273,Windows,1280,720,Chrome
274,Windows,1920,1080,Chrome
275,iPhone/iPod,375,667,Safari
276,Windows,1366,768,Chrome
277,Linux,1366,768,Chrome
278,Windows,1536,864,Chrome
279,Windows,1536,864,Chrome
280,Windows,1366,768,Chrome
281,Windows,1536,864,Chrome
282,Windows,1600,900,Firefox
283,Windows,1920,1080,Chrome
284,Windows,1680,1050,Chrome
285,Windows,1920,1080,Chrome
286,Windows,1920,1080,Chrome
287,Windows,1920,1080,Chrome
288,Linux,1138,712,Chrome
